Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"ECONOMICS OF EDUCATION REVIEW","ECON EDUC REV","PERGAMON-ELSEVIER SCIENCE LTD","0272-7757","1873-7382","EDUCATION & EDUCATIONAL RESEARCH","SSCI","5,080","1.8","0.8","2.5","36.92"%,"96.97"%,"66",
"Annals of Applied Statistics","ANN APPL STAT","INST MATHEMATICAL STATISTICS-IMS","1932-6157","1941-7330","STATISTICS & PROBABILITY","SCIE","5,056","1.4","0.73","1.8","0.44"%,"100"%,"167",
"APPLIED PSYCHOLOGICAL MEASUREMENT","APPL PSYCH MEAS","SAGE PUBLICATIONS INC","0146-6216","1552-3497","PSYCHOLOGY, MATHEMATICAL","SSCI","4,962","1.2","0.44","1.9","19.8"%,"100"%,"28",
"APPLIED PSYCHOLOGICAL MEASUREMENT","APPL PSYCH MEAS","SAGE PUBLICATIONS INC","0146-6216","1552-3497","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","4,962","1.2","0.44","1.9","19.8"%,"100"%,"28",
"ECONOMIC GEOGRAPHY","ECON GEOGR","TAYLOR & FRANCIS LTD","0013-0095","1944-8287","ECONOMICS","SSCI","4,944","8.9","2.07","8.4","58.49"%,"100"%,"10",
"ECONOMIC GEOGRAPHY","ECON GEOGR","TAYLOR & FRANCIS LTD","0013-0095","1944-8287","GEOGRAPHY","SSCI","4,944","8.9","2.07","8.4","58.49"%,"100"%,"10",
"Cultural Diversity & Ethnic Minority Psychology","CULT DIVERS ETHN MIN","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1099-9809","1939-0106","ETHNIC STUDIES","SSCI","4,940","2.9","1.45","4.1","20.75"%,"100"%,"93",
"Cultural Diversity & Ethnic Minority Psychology","CULT DIVERS ETHN MIN","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1099-9809","1939-0106","PSYCHOLOGY, SOCIAL","SSCI","4,940","2.9","1.45","4.1","20.75"%,"100"%,"93",
"BIOSTATISTICS","BIOSTATISTICS","OXFORD UNIV PRESS","1465-4644","1468-4357","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","4,938","2","0.82","2.9","22.7"%,"100"%,"53",
"BIOSTATISTICS","BIOSTATISTICS","OXFORD UNIV PRESS","1465-4644","1468-4357","STATISTICS & PROBABILITY","SCIE","4,938","2","0.82","2.9","22.7"%,"100"%,"53",
"BRITISH JOURNAL OF SOCIOLOGY","BRIT J SOCIOL","WILEY","0007-1315","1468-4446","SOCIOLOGY","SSCI","4,720","3.3","1.52","3.4","72.09"%,"100"%,"62",
"Asia Pacific Journal of Marketing and Logistics","ASIA PAC J MARKET LO","EMERALD GROUP PUBLISHING LTD","1355-5855","1758-4248","BUSINESS","SSCI","4,715","5.1","0.9","5.4","1.94"%,"100"%,"213",
"DECISION SCIENCES","DECISION SCI","WILEY","0011-7315","1540-5915","MANAGEMENT","SSCI","4,702","2.5","0.59","4.8","29.85"%,"96.15"%,"26",
"ACM TRANSACTIONS ON INFORMATION SYSTEMS","ACM T INFORM SYST","ASSOC COMPUTING MACHINERY","1046-8188","1558-2868","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","4,674","9.1","2.28","8","6.42"%,"98.85"%,"174",
"BIOMETRICAL JOURNAL","BIOMETRICAL J","WILEY","0323-3847","1521-4036","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","4,655","1.8","0.62","2","49.81"%,"94.44"%,"90",
"BIOMETRICAL JOURNAL","BIOMETRICAL J","WILEY","0323-3847","1521-4036","STATISTICS & PROBABILITY","SCIE","4,655","1.8","0.62","2","49.81"%,"94.44"%,"90",
"Construction Management and Economics","CONSTR MANAG ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0144-6193","1466-433X","BUSINESS","ESCI","4,606","3.3","0.59","3.7","49.1"%,"100"%,"42",
"Asia Pacific Journal of Management","ASIA PAC J MANAG","SPRINGER","0217-4561","1572-9958","MANAGEMENT","SSCI","4,600","5.8","1.1","5.9","18.75"%,"98.39"%,"62",
"Accounting and Finance","ACCOUNT FINANC","WILEY","0810-5391","1467-629X","BUSINESS, FINANCE","SSCI","4,507","2.6","0.67","3.5","34.14"%,"100"%,"165",
"Annual Review of Economics","ANNU REV ECON","ANNUAL REVIEWS","1941-1383","1941-1391","ECONOMICS","SSCI","4,469","11.4","2.36","12.2","41.67"%,"47.83"%,"23",
"Critical Perspectives on Accounting","CRIT PERSPECT ACCOUN","ELSEVIER","1045-2354","1095-9955","BUSINESS, FINANCE","SSCI","4,456","5.7","1.98","6.6","50.5"%,"98.85"%,"87",
"ANNALS OF APPLIED PROBABILITY","ANN APPL PROBAB","INST MATHEMATICAL STATISTICS-IMS","1050-5164","N/A","STATISTICS & PROBABILITY","SCIE","4,449","1.8","0.97","2.1","1.65"%,"100"%,"144",
"British Accounting Review","BRIT ACCOUNT REV","ELSEVIER SCI LTD","0890-8389","1095-8347","BUSINESS, FINANCE","SSCI","4,444","9.4","1.95","8.5","43.5"%,"99"%,"100",
"American Economic Journal-Macroeconomics","AM ECON J-MACROECON","AMER ECONOMIC ASSOC","1945-7707","1945-7715","ECONOMICS","SSCI","4,410","5.7","2.21","7.4","0"%,"100"%,"50",
"Corporate Governance-The International Journal of Business in Society","CORP GOV-INT J BUS S","EMERALD GROUP PUBLISHING LTD","1472-0701","1758-6054","BUSINESS","ESCI","4,386","4.9","0.97","6","7.6"%,"97.14"%,"105",
"AGRICULTURE AND HUMAN VALUES","AGR HUM VALUES","SPRINGER","0889-048X","1572-8366","AGRICULTURE, MULTIDISCIPLINARY","SCIE","4,322","3.6","1.96","4.1","54.24"%,"95.2"%,"125",
"AGRICULTURE AND HUMAN VALUES","AGR HUM VALUES","SPRINGER","0889-048X","1572-8366","HISTORY & PHILOSOPHY OF SCIENCE","SCIE, SSCI","4,322","3.6","1.96","4.1","54.24"%,"95.2"%,"125",
"AGRICULTURE AND HUMAN VALUES","AGR HUM VALUES","SPRINGER","0889-048X","1572-8366","SOCIOLOGY","SSCI","4,322","3.6","1.96","4.1","54.24"%,"95.2"%,"125",
"Business Process Management Journal","BUS PROCESS MANAG J","EMERALD GROUP PUBLISHING LTD","1463-7154","1758-4116","BUSINESS","SSCI","4,279","5.8","1.23","5.4","9.04"%,"97.42"%,"194",
"Business Process Management Journal","BUS PROCESS MANAG J","EMERALD GROUP PUBLISHING LTD","1463-7154","1758-4116","MANAGEMENT","SSCI","4,279","5.8","1.23","5.4","9.04"%,"97.42"%,"194",
"DEVELOPMENT AND CHANGE","DEV CHANGE","WILEY","0012-155X","1467-7660","DEVELOPMENT STUDIES","SSCI","4,272","3.2","1.03","3.7","59.86"%,"73.08"%,"52",
"COMMUNICATION MONOGRAPHS","COMMUN MONOGR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0363-7751","1479-5787","COMMUNICATION","SSCI","4,264","1.5","1.02","2.8","10.67"%,"100"%,"28",
"BUILDING RESEARCH AND INFORMATION","BUILD RES INF","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0961-3218","1466-4321","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","4,177","3.4","0.59","4.2","35"%,"100"%,"45",
"Business & Information Systems Engineering","BUS INFORM SYST ENG+","SPRINGER VIEWEG-SPRINGER FACHMEDIEN WIESBADEN GMBH","2363-7005","1867-0202","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","3,984","10.4","1.1","10.8","77.5"%,"100"%,"54",
"Demographic Research","DEMOGR RES","MAX PLANCK INST DEMOGRAPHIC RESEARCH","1435-9871","2363-7064","DEMOGRAPHY","SSCI","3,909","2","1.05","2.5","99.59"%,"100"%,"93",
"CHINA QUARTERLY","CHINA QUART","CAMBRIDGE UNIV PRESS","0305-7410","1468-2648","AREA STUDIES","SSCI","3,888","2.5","2.78","2.9","59.39"%,"100"%,"32",
"ACM Transactions on Computer-Human Interaction","ACM T COMPUT-HUM INT","ASSOC COMPUTING MACHINERY","1073-0516","1557-7325","COMPUTER SCIENCE, CYBERNETICS","SCIE","3,882","6.6","1.32","7.1","11.64"%,"96.34"%,"82",
"ACM Transactions on Computer-Human Interaction","ACM T COMPUT-HUM INT","ASSOC COMPUTING MACHINERY","1073-0516","1557-7325","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","3,882","6.6","1.32","7.1","11.64"%,"96.34"%,"82",
"Asia Pacific Journal of Tourism Research","ASIA PAC J TOUR RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1094-1665","1741-6507","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","3,879","3.3","0.99","4.3","5.04"%,"100"%,"121",
"Cogent Economics & Finance","COGENT ECON FINANC","TAYLOR & FRANCIS LTD","2332-2039","2332-2039","ECONOMICS","ESCI","3,830","2.5","0.76","2.5","97.92"%,"95.16"%,"310",
"COMMUNICATION THEORY","COMMUN THEOR","OXFORD UNIV PRESS INC","1050-3293","1468-2885","COMMUNICATION","SSCI","3,815","6.2","2.29","5.4","44.44"%,"100"%,"25",
"BROOKINGS PAPERS ON ECONOMIC ACTIVITY","BROOKINGS PAP ECO AC","JOHNS HOPKINS UNIV PRESS","0007-2303","1533-4465","ECONOMICS","SSCI","3,790","2.8","0.55","5.4","0"%,"100"%,"6",
"ECONOMIC INQUIRY","ECON INQ","WILEY","0095-2583","1465-7295","ECONOMICS","SSCI","3,755","1.3","0.46","1.7","44.1"%,"100"%,"70",
"AUDITING-A JOURNAL OF PRACTICE & THEORY","AUDITING-J PRACT TH","AMER ACCOUNTING ASSOC","0278-0380","1558-7991","BUSINESS, FINANCE","SSCI","3,732","2.8","0.82","3.9","0"%,"100"%,"29",
"CAMBRIDGE JOURNAL OF ECONOMICS","CAMB J ECON","OXFORD UNIV PRESS","0309-166X","1464-3545","ECONOMICS","SSCI","3,713","2.1","0.67","2.2","24.12"%,"100"%,"47",
"BERNOULLI","BERNOULLI","INT STATISTICAL INST","1350-7265","1573-9759","STATISTICS & PROBABILITY","SCIE","3,664","1.7","0.94","1.9","0.53"%,"100"%,"131",
"Academy of Management Learning & Education","ACAD MANAG LEARN EDU","ACAD MANAGEMENT","1537-260X","N/A","EDUCATION & EDUCATIONAL RESEARCH","SSCI","3,601","5.2","1.87","6","0"%,"100"%,"24",
"Academy of Management Learning & Education","ACAD MANAG LEARN EDU","ACAD MANAGEMENT","1537-260X","N/A","MANAGEMENT","SSCI","3,601","5.2","1.87","6","0"%,"100"%,"24",
"Design Studies","DESIGN STUD","ELSEVIER SCI LTD","0142-694X","1872-6909","ENGINEERING, MANUFACTURING","SCIE","3,532","4.8","1.07","4.8","52.44"%,"100"%,"18",
"Design Studies","DESIGN STUD","ELSEVIER SCI LTD","0142-694X","1872-6909","ENGINEERING, MULTIDISCIPLINARY","SCIE","3,532","4.8","1.07","4.8","52.44"%,"100"%,"18",
"Communications of the Association for Information Systems","COMMUN ASSOC INF SYS","ASSOC INFORMATION SYSTEMS","1529-3181","1529-3181","COMPUTER SCIENCE, INFORMATION SYSTEMS","ESCI","3,480","2.2","0.5","2.3","0"%,"96.2"%,"79",
"COLUMBIA LAW REVIEW","COLUMBIA LAW REV","COLUMBIA JOURNAL TRANSNATIONAL LAW ASSOC","0010-1958","1945-2268","LAW","SSCI","3,279","3","3.72","3.3","0"%,"92.16"%,"51",
"Accounting Horizons","ACCOUNT HORIZ","AMER ACCOUNTING ASSOC","0888-7993","1558-7975","BUSINESS, FINANCE","SSCI","3,151","2.2","0.67","3.2","0"%,"100"%,"39",
"DISASTERS","DISASTERS","WILEY","0361-3666","1467-7717","ENVIRONMENTAL STUDIES","SSCI","3,142","2.6","1.09","3.1","61.64"%,"100"%,"48",
"DISASTERS","DISASTERS","WILEY","0361-3666","1467-7717","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","3,142","2.6","1.09","3.1","61.64"%,"100"%,"48",
"AMERICAN JOURNAL OF PSYCHOLOGY","AM J PSYCHOL","UNIV ILLINOIS PRESS","0002-9556","1939-8298","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","3,130","0.6","0.2","0.9","0"%,"100"%,"20",
"Climate and Development","CLIM DEV","TAYLOR & FRANCIS LTD","1756-5529","1756-5537","DEVELOPMENT STUDIES","SSCI","3,128","3.4","0.75","4.7","32.85"%,"91.18"%,"68",
"Climate and Development","CLIM DEV","TAYLOR & FRANCIS LTD","1756-5529","1756-5537","ENVIRONMENTAL STUDIES","SSCI","3,128","3.4","0.75","4.7","32.85"%,"91.18"%,"68",
"Case Studies on Transport Policy","CASE STUD TRANSP POL","ELSEVIER","2213-624X","2213-6258","TRANSPORTATION","ESCI","3,108","3.3","0.71","3.1","29.61"%,"98.33"%,"180",
"ECONOMETRIC THEORY","ECONOMET THEOR","CAMBRIDGE UNIV PRESS","0266-4666","1469-4360","ECONOMICS","SSCI","3,089","1","0.36","1.4","26.96"%,"100"%,"33",
"ECONOMETRIC THEORY","ECONOMET THEOR","CAMBRIDGE UNIV PRESS","0266-4666","1469-4360","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","3,089","1","0.36","1.4","26.96"%,"100"%,"33",
"ECONOMETRIC THEORY","ECONOMET THEOR","CAMBRIDGE UNIV PRESS","0266-4666","1469-4360","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","3,089","1","0.36","1.4","26.96"%,"100"%,"33",
"ECONOMETRIC THEORY","ECONOMET THEOR","CAMBRIDGE UNIV PRESS","0266-4666","1469-4360","STATISTICS & PROBABILITY","SCIE","3,089","1","0.36","1.4","26.96"%,"100"%,"33",
"Career Development International","CAREER DEV INT","EMERALD GROUP PUBLISHING LTD","1362-0436","1758-6003","MANAGEMENT","SSCI","3,038","4.1","1.02","4.2","13.39"%,"98.08"%,"52",
"Career Development International","CAREER DEV INT","EMERALD GROUP PUBLISHING LTD","1362-0436","1758-6003","PSYCHOLOGY, APPLIED","SSCI","3,038","4.1","1.02","4.2","13.39"%,"98.08"%,"52",
"AMERICAN REVIEW OF PUBLIC ADMINISTRATION","AM REV PUBLIC ADM","SAGE PUBLICATIONS INC","0275-0740","1552-3357","PUBLIC ADMINISTRATION","SSCI","2,999","2.5","1","4","13.73"%,"97.3"%,"37",
"Bayesian Analysis","BAYESIAN ANAL","INT SOC BAYESIAN ANALYSIS","1931-6690","1936-0975","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","2,987","2.5","0.94","3.8","99.27"%,"100"%,"45",
"Bayesian Analysis","BAYESIAN ANAL","INT SOC BAYESIAN ANALYSIS","1931-6690","1936-0975","STATISTICS & PROBABILITY","SCIE","2,987","2.5","0.94","3.8","99.27"%,"100"%,"45",
"DISCOURSE & SOCIETY","DISCOURSE SOC","SAGE PUBLICATIONS LTD","0957-9265","1460-3624","COMMUNICATION","SSCI","2,878","2.7","1.12","2.8","27.59"%,"100"%,"58",
"DISCOURSE & SOCIETY","DISCOURSE SOC","SAGE PUBLICATIONS LTD","0957-9265","1460-3624","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","2,878","2.7","1.12","2.8","27.59"%,"100"%,"58",
"DISCOURSE & SOCIETY","DISCOURSE SOC","SAGE PUBLICATIONS LTD","0957-9265","1460-3624","SOCIOLOGY","SSCI","2,878","2.7","1.12","2.8","27.59"%,"100"%,"58",
"ECONOMIC DEVELOPMENT AND CULTURAL CHANGE","ECON DEV CULT CHANGE","UNIV CHICAGO PRESS","0013-0079","1539-2988","AREA STUDIES","SSCI","2,872","1.8","1.28","2.1","4.51"%,"100"%,"63",
"ECONOMIC DEVELOPMENT AND CULTURAL CHANGE","ECON DEV CULT CHANGE","UNIV CHICAGO PRESS","0013-0079","1539-2988","DEVELOPMENT STUDIES","SSCI","2,872","1.8","1.28","2.1","4.51"%,"100"%,"63",
"ECONOMIC DEVELOPMENT AND CULTURAL CHANGE","ECON DEV CULT CHANGE","UNIV CHICAGO PRESS","0013-0079","1539-2988","ECONOMICS","SSCI","2,872","1.8","1.28","2.1","4.51"%,"100"%,"63",
"ECONOMICA","ECONOMICA","WILEY","0013-0427","1468-0335","ECONOMICS","SSCI","2,867","1.6","0.49","1.9","53.85"%,"100"%,"51",
"BUSINESS ETHICS QUARTERLY","BUS ETHICS Q","CAMBRIDGE UNIV PRESS","1052-150X","2153-3326","BUSINESS","SSCI","2,840","3","0.95","4.3","49.09"%,"94.12"%,"17",
"BUSINESS ETHICS QUARTERLY","BUS ETHICS Q","CAMBRIDGE UNIV PRESS","1052-150X","2153-3326","ETHICS","SSCI","2,840","3","0.95","4.3","49.09"%,"94.12"%,"17",
"Creativity and Innovation Management","CREAT INNOV MANAG","WILEY","0963-1690","1467-8691","MANAGEMENT","SSCI","2,832","4.2","0.92","4.4","51.32"%,"100"%,"62",
"ADMINISTRATION & SOCIETY","ADMIN SOC","SAGE PUBLICATIONS INC","0095-3997","1552-3039","PUBLIC ADMINISTRATION","SSCI","2,779","2.3","1.04","3.3","23.33"%,"100"%,"50",
"BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY","BRIT J MATH STAT PSY","WILEY","0007-1102","2044-8317","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","2,749","1.8","0.66","2.8","45"%,"97.67"%,"43",
"BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY","BRIT J MATH STAT PSY","WILEY","0007-1102","2044-8317","PSYCHOLOGY, EXPERIMENTAL","SSCI","2,749","1.8","0.66","2.8","45"%,"97.67"%,"43",
"BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY","BRIT J MATH STAT PSY","WILEY","0007-1102","2044-8317","PSYCHOLOGY, MATHEMATICAL","SSCI","2,749","1.8","0.66","2.8","45"%,"97.67"%,"43",
"BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY","BRIT J MATH STAT PSY","WILEY","0007-1102","2044-8317","STATISTICS & PROBABILITY","SCIE","2,749","1.8","0.66","2.8","45"%,"97.67"%,"43",
"BASIC AND APPLIED SOCIAL PSYCHOLOGY","BASIC APPL SOC PSYCH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0197-3533","1532-4834","PSYCHOLOGY, SOCIAL","SSCI","2,743","1.8","0.56","2.5","17.91"%,"100"%,"42",
"Econometric Reviews","ECONOMET REV","TAYLOR & FRANCIS INC","0747-4938","1532-4168","ECONOMICS","SSCI","2,724","1","0.39","1.6","22.32"%,"100"%,"50",
"Econometric Reviews","ECONOMET REV","TAYLOR & FRANCIS INC","0747-4938","1532-4168","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","2,724","1","0.39","1.6","22.32"%,"100"%,"50",
"Econometric Reviews","ECONOMET REV","TAYLOR & FRANCIS INC","0747-4938","1532-4168","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","2,724","1","0.39","1.6","22.32"%,"100"%,"50",
"Econometric Reviews","ECONOMET REV","TAYLOR & FRANCIS INC","0747-4938","1532-4168","STATISTICS & PROBABILITY","SCIE","2,724","1","0.39","1.6","22.32"%,"100"%,"50",
"Applied Economic Perspectives and Policy","APPL ECON PERSPECT P","WILEY","2040-5790","2040-5804","AGRICULTURAL ECONOMICS & POLICY","SCIE","2,699","3.4","1.39","4.4","47.31"%,"100"%,"75",
"Applied Economic Perspectives and Policy","APPL ECON PERSPECT P","WILEY","2040-5790","2040-5804","ECONOMICS","SSCI","2,699","3.4","1.39","4.4","47.31"%,"100"%,"75",
"Cambridge Journal of Regions Economy and Society","CAMB J REG ECON SOC","OXFORD UNIV PRESS","1752-1378","1752-1386","DEVELOPMENT STUDIES","SSCI","2,627","4.7","1.35","5.7","51.38"%,"100"%,"34",
"Cambridge Journal of Regions Economy and Society","CAMB J REG ECON SOC","OXFORD UNIV PRESS","1752-1378","1752-1386","ECONOMICS","SSCI","2,627","4.7","1.35","5.7","51.38"%,"100"%,"34",
"Cambridge Journal of Regions Economy and Society","CAMB J REG ECON SOC","OXFORD UNIV PRESS","1752-1378","1752-1386","GEOGRAPHY","SSCI","2,627","4.7","1.35","5.7","51.38"%,"100"%,"34",
"Australasian Marketing Journal","AUSTRALAS MARK J","SAGE PUBLICATIONS LTD","1441-3582","1839-3349","BUSINESS","ESCI","2,590","3.8","0.89","7.7","32.98"%,"100"%,"35",
"COMPARATIVE POLITICS","COMP POLIT","SHERIDAN PRESS","0010-4159","2151-6227","POLITICAL SCIENCE","SSCI","2,577","2.3","1.23","2.6","0"%,"91.3"%,"23",
"Applied Health Economics and Health Policy","APPL HEALTH ECON HEA","SPRINGER INT PUBL AG","1175-5652","1179-1896","ECONOMICS","SSCI","2,326","3.3","1","3.3","52.91"%,"74.32"%,"74",
"Applied Health Economics and Health Policy","APPL HEALTH ECON HEA","SPRINGER INT PUBL AG","1175-5652","1179-1896","HEALTH CARE SCIENCES & SERVICES","SCIE","2,326","3.3","1","3.3","52.91"%,"74.32"%,"74",
"Applied Health Economics and Health Policy","APPL HEALTH ECON HEA","SPRINGER INT PUBL AG","1175-5652","1179-1896","HEALTH POLICY & SERVICES","SSCI","2,326","3.3","1","3.3","52.91"%,"74.32"%,"74",
"Annual Review of Resource Economics","ANNU REV RESOUR ECON","ANNUAL REVIEWS","1941-1340","1941-1359","AGRICULTURAL ECONOMICS & POLICY","SCIE","2,316","8.4","1.54","8.8","41.1"%,"33.33"%,"18",
"Annual Review of Resource Economics","ANNU REV RESOUR ECON","ANNUAL REVIEWS","1941-1340","1941-1359","ECONOMICS","SSCI","2,316","8.4","1.54","8.8","41.1"%,"33.33"%,"18",
"Annual Review of Resource Economics","ANNU REV RESOUR ECON","ANNUAL REVIEWS","1941-1340","1941-1359","ENVIRONMENTAL STUDIES","SSCI","2,316","8.4","1.54","8.8","41.1"%,"33.33"%,"18",
"ECONOMIC THEORY","ECON THEOR","SPRINGER","0938-2259","1432-0479","ECONOMICS","SSCI","2,299","1.1","0.43","1.2","37.5"%,"100"%,"83",
"Computational Economics","COMPUT ECON","SPRINGER","0927-7099","1572-9974","ECONOMICS","SSCI","2,293","2.2","0.64","2.1","20"%,"100"%,"288",
"Computational Economics","COMPUT ECON","SPRINGER","0927-7099","1572-9974","MANAGEMENT","SSCI","2,293","2.2","0.64","2.1","20"%,"100"%,"288",
"Computational Economics","COMPUT ECON","SPRINGER","0927-7099","1572-9974","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","2,293","2.2","0.64","2.1","20"%,"100"%,"288",
"Econometrics Journal","ECONOMET J","OXFORD UNIV PRESS","1368-4221","1368-423X","ECONOMICS","SSCI","2,274","7","1.43","4.6","20.78"%,"95.45"%,"22",
"Econometrics Journal","ECONOMET J","OXFORD UNIV PRESS","1368-4221","1368-423X","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","2,274","7","1.43","4.6","20.78"%,"95.45"%,"22",
"Econometrics Journal","ECONOMET J","OXFORD UNIV PRESS","1368-4221","1368-423X","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","2,274","7","1.43","4.6","20.78"%,"95.45"%,"22",
"Econometrics Journal","ECONOMET J","OXFORD UNIV PRESS","1368-4221","1368-423X","STATISTICS & PROBABILITY","SCIE","2,274","7","1.43","4.6","20.78"%,"95.45"%,"22",
"Citizenship Studies","CITIZENSHIP STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1362-1025","1469-3593","POLITICAL SCIENCE","SSCI","2,260","1.9","0.74","2.3","51.81"%,"100"%,"49",
"AMERICAN JOURNAL OF EVALUATION","AM J EVAL","SAGE PUBLICATIONS INC","1098-2140","1557-0878","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","2,248","1","0.49","1.7","15.31"%,"100"%,"25",
"CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE","CAN J ECON","WILEY","0008-4085","1540-5982","ECONOMICS","SSCI","2,243","1.1","0.36","1.4","26.42"%,"100"%,"45",
"Economics & Human Biology","ECON HUM BIOL","ELSEVIER","1570-677X","1873-6130","ECONOMICS","SSCI","2,224","1.8","0.67","2.2","42.12"%,"97.56"%,"82",
"Economics & Human Biology","ECON HUM BIOL","ELSEVIER","1570-677X","1873-6130","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,224","1.8","0.67","2.2","42.12"%,"97.56"%,"82",
"Computer Law & Security Review","COMPUT LAW SECUR REV","ELSEVIER ADVANCED TECHNOLOGY","0267-3649","0267-3649","LAW","SSCI","2,210","3.2","3.56","3.7","46.9"%,"96.06"%,"127",
"ACCOUNTING AND BUSINESS RESEARCH","ACCOUNT BUS RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0001-4788","2159-4260","BUSINESS, FINANCE","SSCI","2,199","1.4","0.51","2.6","35.87"%,"100"%,"28",
"ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS","ANN I STAT MATH","SPRINGER HEIDELBERG","0020-3157","1572-9052","STATISTICS & PROBABILITY","SCIE","2,142","0.6","0.36","1","0"%,"100"%,"31",
"ADVANCES IN APPLIED PROBABILITY","ADV APPL PROBAB","CAMBRIDGE UNIV PRESS","0001-8678","1475-6064","STATISTICS & PROBABILITY","SCIE","2,092","1.2","0.71","1.2","2.82"%,"100"%,"59",
"Construction Innovation-England","CONSTR INNOV-ENGL","EMERALD GROUP PUBLISHING LTD","1471-4175","1477-0857","CONSTRUCTION & BUILDING TECHNOLOGY","ESCI","2,067","3.5","0.55","3.9","10"%,"96.15"%,"78",
"ECONOMIC POLICY","ECON POLICY","OXFORD UNIV PRESS","0266-4658","1468-0327","ECONOMICS","SSCI","2,055","6.4","1.56","6.8","32.26"%,"100"%,"29",
"Cornell Hospitality Quarterly","CORNELL HOSP Q","SAGE PUBLICATIONS INC","1938-9655","1938-9663","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","1,974","3","0.93","4.2","17.78"%,"100"%,"36",
"Cornell Hospitality Quarterly","CORNELL HOSP Q","SAGE PUBLICATIONS INC","1938-9655","1938-9663","MANAGEMENT","SSCI","1,974","3","0.93","4.2","17.78"%,"100"%,"36",
"Cornell Hospitality Quarterly","CORNELL HOSP Q","SAGE PUBLICATIONS INC","1938-9655","1938-9663","SOCIOLOGY","SSCI","1,974","3","0.93","4.2","17.78"%,"100"%,"36",
"Economic Systems","ECON SYST","ELSEVIER","0939-3625","1878-5433","ECONOMICS","SSCI","1,969","3.3","1.08","3.4","18.52"%,"100"%,"68",
"AUSTRALIAN PSYCHOLOGIST","AUST PSYCHOL","TAYLOR & FRANCIS LTD","0005-0067","1742-9544","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","1,941","2","0.67","2.4","51.59"%,"94.12"%,"51",
"DISCOURSE STUDIES","DISCOURSE STUD","SAGE PUBLICATIONS LTD","1461-4456","1461-7080","COMMUNICATION","SSCI","1,941","1.7","0.9","2.2","30.5"%,"100"%,"66",
"China Agricultural Economic Review","CHINA AGR ECON REV","EMERALD GROUP PUBLISHING LTD","1756-137X","1756-1388","AGRICULTURAL ECONOMICS & POLICY","SCIE","1,905","4.6","1.67","5.4","3.85"%,"100"%,"58",
"China Agricultural Economic Review","CHINA AGR ECON REV","EMERALD GROUP PUBLISHING LTD","1756-137X","1756-1388","ECONOMICS","SSCI","1,905","4.6","1.67","5.4","3.85"%,"100"%,"58",
