"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"GENDER & SOCIETY","GENDER SOC","SAGE PUBLICATIONS INC","0891-2432","1552-3977","WOMENS STUDIES","SSCI","7,172","3.4","3.07","6.5","34.41"%,"100"%,"30",
"Forest Policy and Economics","FOREST POLICY ECON","ELSEVIER","1389-9341","1872-7050","ECONOMICS","SSCI","7,125","3.8","1.17","4","38.85"%,"96.41"%,"167",
"Forest Policy and Economics","FOREST POLICY ECON","ELSEVIER","1389-9341","1872-7050","ENVIRONMENTAL STUDIES","SSCI","7,125","3.8","1.17","4","38.85"%,"96.41"%,"167",
"Forest Policy and Economics","FOREST POLICY ECON","ELSEVIER","1389-9341","1872-7050","FORESTRY","SCIE","7,125","3.8","1.17","4","38.85"%,"96.41"%,"167",
"European Management Journal","EUR MANAG J","ELSEVIER SCI LTD","0263-2373","1873-5681","BUSINESS","SSCI","7,114","7.3","1.78","7.4","34.32"%,"98.8"%,"83",
"European Management Journal","EUR MANAG J","ELSEVIER SCI LTD","0263-2373","1873-5681","MANAGEMENT","SSCI","7,114","7.3","1.78","7.4","34.32"%,"98.8"%,"83",
"HARVARD LAW REVIEW","HARVARD LAW REV","HARVARD LAW REV ASSOC","0017-811X","2161-976X","LAW","SSCI","6,803","3.7","2.52","4.5","0"%,"98.68"%,"76",
"HUMAN RESOURCE MANAGEMENT","HUM RESOUR MANAGE-US","WILEY PERIODICALS, INC","0090-4848","1099-050X","MANAGEMENT","SSCI","6,718","9","2.14","9.4","47.68"%,"100"%,"67",
"HUMAN RESOURCE MANAGEMENT","HUM RESOUR MANAGE-US","WILEY PERIODICALS, INC","0090-4848","1099-050X","PSYCHOLOGY, APPLIED","SSCI","6,718","9","2.14","9.4","47.68"%,"100"%,"67",
"European Business Review","EUR BUS REV","EMERALD GROUP PUBLISHING LTD","0955-534X","1758-7107","BUSINESS","ESCI","6,644","3.7","0.81","17.5","7.14"%,"100"%,"41",
"Futures","FUTURES","ELSEVIER SCI LTD","0016-3287","1873-6378","ECONOMICS","SSCI","6,568","3.8","0.83","3.9","58.85"%,"97.92"%,"144",
"Futures","FUTURES","ELSEVIER SCI LTD","0016-3287","1873-6378","REGIONAL & URBAN PLANNING","SSCI","6,568","3.8","0.83","3.9","58.85"%,"97.92"%,"144",
"INFORMATION SYSTEMS FRONTIERS","INFORM SYST FRONT","SPRINGER","1387-3326","1572-9419","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","6,537","8.3","1.84","7.8","43.22"%,"100"%,"101",
"INFORMATION SYSTEMS FRONTIERS","INFORM SYST FRONT","SPRINGER","1387-3326","1572-9419","COMPUTER SCIENCE, THEORY & METHODS","SCIE","6,537","8.3","1.84","7.8","43.22"%,"100"%,"101",
"ENVIRONMENTAL & RESOURCE ECONOMICS","ENVIRON RESOUR ECON","SPRINGER","0924-6460","1573-1502","ECONOMICS","SSCI","6,498","3.4","0.9","3.9","51.04"%,"100"%,"104",
"ENVIRONMENTAL & RESOURCE ECONOMICS","ENVIRON RESOUR ECON","SPRINGER","0924-6460","1573-1502","ENVIRONMENTAL STUDIES","SSCI","6,498","3.4","0.9","3.9","51.04"%,"100"%,"104",
"INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING","INT J RES MARK","ELSEVIER","0167-8116","1873-8001","BUSINESS","SSCI","6,426","7.5","1.31","8.5","34.19"%,"97.56"%,"41",
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","TAYLOR & FRANCIS LTD","0960-085X","1476-9344","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","6,394","8.6","1.92","10.7","33.06"%,"90.91"%,"33",
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","TAYLOR & FRANCIS LTD","0960-085X","1476-9344","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,394","8.6","1.92","10.7","33.06"%,"90.91"%,"33",
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","TAYLOR & FRANCIS LTD","0960-085X","1476-9344","MANAGEMENT","SSCI","6,394","8.6","1.92","10.7","33.06"%,"90.91"%,"33",
"INTERNATIONAL STUDIES QUARTERLY","INT STUD QUART","OXFORD UNIV PRESS","0020-8833","1468-2478","INTERNATIONAL RELATIONS","SSCI","6,250","2.5","1.17","3.3","39.88"%,"100"%,"143",
"INTERNATIONAL STUDIES QUARTERLY","INT STUD QUART","OXFORD UNIV PRESS","0020-8833","1468-2478","POLITICAL SCIENCE","SSCI","6,250","2.5","1.17","3.3","39.88"%,"100"%,"143",
"Environmental Education Research","ENVIRON EDUC RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1350-4622","1469-5871","EDUCATION & EDUCATIONAL RESEARCH","SSCI","6,131","3.1","1.03","4.6","38.24"%,"92.86"%,"140",
"Environmental Education Research","ENVIRON EDUC RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1350-4622","1469-5871","ENVIRONMENTAL STUDIES","SSCI","6,131","3.1","1.03","4.6","38.24"%,"92.86"%,"140",
"INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH","INT J URBAN REGIONAL","WILEY","0309-1317","1468-2427","GEOGRAPHY","SSCI","6,116","1.9","0.7","3.7","52.6"%,"100"%,"62",
"INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH","INT J URBAN REGIONAL","WILEY","0309-1317","1468-2427","REGIONAL & URBAN PLANNING","SSCI","6,116","1.9","0.7","3.7","52.6"%,"100"%,"62",
"INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH","INT J URBAN REGIONAL","WILEY","0309-1317","1468-2427","URBAN STUDIES","SSCI","6,116","1.9","0.7","3.7","52.6"%,"100"%,"62",
"HEALTH PROMOTION INTERNATIONAL","HEALTH PROMOT INT","OXFORD UNIV PRESS","0957-4824","1460-2245","HEALTH POLICY & SERVICES","SSCI","5,997","2.4","0.81","2.8","45.08"%,"80.34"%,"178",
"HEALTH PROMOTION INTERNATIONAL","HEALTH PROMOT INT","OXFORD UNIV PRESS","0957-4824","1460-2245","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","5,997","2.4","0.81","2.8","45.08"%,"80.34"%,"178",
"EUROPEAN JOURNAL OF POLITICAL RESEARCH","EUR J POLIT RES","WILEY","0304-4130","1475-6765","POLITICAL SCIENCE","SSCI","5,954","4.2","1.82","5.9","76.42"%,"100"%,"94",
"Electronic Commerce Research and Applications","ELECTRON COMMER R A","ELSEVIER","1567-4223","1873-7846","BUSINESS","SSCI","5,933","6.3","1.33","7","9.43"%,"99"%,"100",
"Electronic Commerce Research and Applications","ELECTRON COMMER R A","ELSEVIER","1567-4223","1873-7846","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","5,933","6.3","1.33","7","9.43"%,"99"%,"100",
"Electronic Commerce Research and Applications","ELECTRON COMMER R A","ELSEVIER","1567-4223","1873-7846","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,933","6.3","1.33","7","9.43"%,"99"%,"100",
"EMERGING MARKETS FINANCE AND TRADE","EMERG MARK FINANC TR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1540-496X","1558-0938","BUSINESS","SSCI","5,871","3.1","1.09","3.2","4.52"%,"99.03"%,"206",
"EMERGING MARKETS FINANCE AND TRADE","EMERG MARK FINANC TR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1540-496X","1558-0938","ECONOMICS","SSCI","5,871","3.1","1.09","3.2","4.52"%,"99.03"%,"206",
"EMERGING MARKETS FINANCE AND TRADE","EMERG MARK FINANC TR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1540-496X","1558-0938","INTERNATIONAL RELATIONS","SSCI","5,871","3.1","1.09","3.2","4.52"%,"99.03"%,"206",
"ENVIRONMENT AND PLANNING D-SOCIETY & SPACE","ENVIRON PLANN D","SAGE PUBLICATIONS LTD","0263-7758","1472-3433","ENVIRONMENTAL STUDIES","SSCI","5,787","2.5","0.76","4.5","45.29"%,"100"%,"60",
"ENVIRONMENT AND PLANNING D-SOCIETY & SPACE","ENVIRON PLANN D","SAGE PUBLICATIONS LTD","0263-7758","1472-3433","GEOGRAPHY","SSCI","5,787","2.5","0.76","4.5","45.29"%,"100"%,"60",
"European Journal of Work and Organizational Psychology","EUR J WORK ORGAN PSY","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1359-432X","1464-0643","MANAGEMENT","SSCI","5,728","3.4","1.09","5.7","42.68"%,"100"%,"62",
"European Journal of Work and Organizational Psychology","EUR J WORK ORGAN PSY","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1359-432X","1464-0643","PSYCHOLOGY, APPLIED","SSCI","5,728","3.4","1.09","5.7","42.68"%,"100"%,"62",
"INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH","INT J ENTREP BEHAV R","EMERALD GROUP PUBLISHING LTD","1355-2554","1758-6534","BUSINESS","SSCI","5,573","4.7","0.98","6.1","20.72"%,"99.11"%,"112",
"INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH","INT J ENTREP BEHAV R","EMERALD GROUP PUBLISHING LTD","1355-2554","1758-6534","MANAGEMENT","SSCI","5,573","4.7","0.98","6.1","20.72"%,"99.11"%,"112",
"International Journal of Intercultural Relations","INT J INTERCULT REL","PERGAMON-ELSEVIER SCIENCE LTD","0147-1767","1873-7552","PSYCHOLOGY, SOCIAL","SSCI","5,570","2.8","1.25","3.2","30.63"%,"93.06"%,"144",
"International Journal of Intercultural Relations","INT J INTERCULT REL","PERGAMON-ELSEVIER SCIENCE LTD","0147-1767","1873-7552","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","5,570","2.8","1.25","3.2","30.63"%,"93.06"%,"144",
"International Journal of Intercultural Relations","INT J INTERCULT REL","PERGAMON-ELSEVIER SCIENCE LTD","0147-1767","1873-7552","SOCIOLOGY","SSCI","5,570","2.8","1.25","3.2","30.63"%,"93.06"%,"144",
"GENDER WORK AND ORGANIZATION","GENDER WORK ORGAN","WILEY","0968-6673","1468-0432","MANAGEMENT","SSCI","5,544","3","1.39","4.6","60.33"%,"100"%,"98",
"GENDER WORK AND ORGANIZATION","GENDER WORK ORGAN","WILEY","0968-6673","1468-0432","WOMENS STUDIES","SSCI","5,544","3","1.39","4.6","60.33"%,"100"%,"98",
"INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT","INT J PHYS DISTR LOG","EMERALD GROUP PUBLISHING LTD","0960-0035","1758-664X","MANAGEMENT","SSCI","5,468","7.3","1.56","8.2","24.06"%,"97.83"%,"46",
"Empirical Economics","EMPIR ECON","PHYSICA-VERLAG GMBH & CO","0377-7332","1435-8921","ECONOMICS","SSCI","5,377","1.9","0.65","2.6","35.67"%,"100"%,"160",
"Empirical Economics","EMPIR ECON","PHYSICA-VERLAG GMBH & CO","0377-7332","1435-8921","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","5,377","1.9","0.65","2.6","35.67"%,"100"%,"160",
"European Journal of Innovation Management","EUR J INNOV MANAG","EMERALD GROUP PUBLISHING LTD","1460-1060","1758-7115","BUSINESS","SSCI","5,369","5.7","1.18","6.7","18.52"%,"99.21"%,"126",
"European Journal of Innovation Management","EUR J INNOV MANAG","EMERALD GROUP PUBLISHING LTD","1460-1060","1758-7115","MANAGEMENT","SSCI","5,369","5.7","1.18","6.7","18.52"%,"99.21"%,"126",
"GAMES AND ECONOMIC BEHAVIOR","GAME ECON BEHAV","ACADEMIC PRESS INC ELSEVIER SCIENCE","0899-8256","1090-2473","ECONOMICS","SSCI","5,296","1","0.33","1.2","32.96"%,"100"%,"142",
"International Journal of Bank Marketing","INT J BANK MARK","EMERALD GROUP PUBLISHING LTD","0265-2323","1758-5937","BUSINESS","SSCI","5,294","6.9","1.31","7.3","5.83"%,"98.88"%,"89",
"INTERNATIONAL ECONOMIC REVIEW","INT ECON REV","WILEY","0020-6598","1468-2354","ECONOMICS","SSCI","5,241","1.3","0.39","1.9","35.63"%,"100"%,"61",
"International Journal of Advertising","INT J ADVERT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0265-0487","1759-3948","BUSINESS","SSCI","5,191","5.9","1.82","8.2","19.89"%,"100"%,"65",
"International Journal of Advertising","INT J ADVERT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0265-0487","1759-3948","COMMUNICATION","SSCI","5,191","5.9","1.82","8.2","19.89"%,"100"%,"65",
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,008","6.3","1.99","9.7","56.08"%,"96.72"%,"61",
"INTERNATIONAL MIGRATION REVIEW","INT MIGR REV","SAGE PUBLICATIONS INC","0197-9183","1747-7379","DEMOGRAPHY","SSCI","4,961","2.4","1.19","3.5","30.68"%,"100"%,"76",
"International Journal of Retail & Distribution Management","INT J RETAIL DISTRIB","EMERALD GROUP PUBLISHING LTD","0959-0552","1758-6690","BUSINESS","SSCI","4,933","5.5","1.12","5.9","14.94"%,"98.7"%,"77",
"International Journal of Retail & Distribution Management","INT J RETAIL DISTRIB","EMERALD GROUP PUBLISHING LTD","0959-0552","1758-6690","MANAGEMENT","SSCI","4,933","5.5","1.12","5.9","14.94"%,"98.7"%,"77",
"International Journal of Tourism Research","INT J TOUR RES","WILEY","1099-2340","1522-1970","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","4,877","5.7","1.25","5.8","25.93"%,"100"%,"186",
"INTERNATIONAL AFFAIRS","INT AFF","OXFORD UNIV PRESS","0020-5850","1468-2346","INTERNATIONAL RELATIONS","SSCI","4,854","4","2.41","4.4","52.47"%,"100"%,"120",
"EUROPEAN JOURNAL OF PERSONALITY","EUR J PERSONALITY","SAGE PUBLICATIONS LTD","0890-2070","1099-0984","PSYCHOLOGY, SOCIAL","SSCI","4,830","3.7","1.31","5.5","41.89"%,"100"%,"55",
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LTD","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,714","5.6","1.55","5.8","9.07"%,"100"%,"98",
"INSURANCE MATHEMATICS & ECONOMICS","INSUR MATH ECON","ELSEVIER","0167-6687","1873-5959","ECONOMICS","SSCI","4,713","2.2","0.8","2.3","26.32"%,"98.81"%,"84",
"INSURANCE MATHEMATICS & ECONOMICS","INSUR MATH ECON","ELSEVIER","0167-6687","1873-5959","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","4,713","2.2","0.8","2.3","26.32"%,"98.81"%,"84",
"INSURANCE MATHEMATICS & ECONOMICS","INSUR MATH ECON","ELSEVIER","0167-6687","1873-5959","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","4,713","2.2","0.8","2.3","26.32"%,"98.81"%,"84",
"INSURANCE MATHEMATICS & ECONOMICS","INSUR MATH ECON","ELSEVIER","0167-6687","1873-5959","STATISTICS & PROBABILITY","SCIE","4,713","2.2","0.8","2.3","26.32"%,"98.81"%,"84",
"HUMAN COMMUNICATION RESEARCH","HUM COMMUN RES","OXFORD UNIV PRESS INC","0360-3989","1468-2958","COMMUNICATION","SSCI","4,591","3.3","1.86","4.5","20.35"%,"100"%,"25",
"International Entrepreneurship and Management Journal","INT ENTREP MANAG J","SPRINGER","1554-7191","1555-1938","BUSINESS","SSCI","4,572","3.9","1.02","5.9","39.05"%,"100"%,"73",
"International Entrepreneurship and Management Journal","INT ENTREP MANAG J","SPRINGER","1554-7191","1555-1938","MANAGEMENT","SSCI","4,572","3.9","1.02","5.9","39.05"%,"100"%,"73",
"HOUSING STUDIES","HOUSING STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0267-3037","1466-1810","ENVIRONMENTAL STUDIES","SSCI","4,544","2.9","0.59","3.9","44.98"%,"98.97"%,"97",
"HOUSING STUDIES","HOUSING STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0267-3037","1466-1810","REGIONAL & URBAN PLANNING","SSCI","4,544","2.9","0.59","3.9","44.98"%,"98.97"%,"97",
"HOUSING STUDIES","HOUSING STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0267-3037","1466-1810","URBAN STUDIES","SSCI","4,544","2.9","0.59","3.9","44.98"%,"98.97"%,"97",
"International Small Business Journal-Researching Entrepreneurship","INT SMALL BUS J","SAGE PUBLICATIONS LTD","0266-2426","1741-2870","BUSINESS","SSCI","4,534","3.9","0.84","6.3","45.63"%,"100"%,"39",
"International Small Business Journal-Researching Entrepreneurship","INT SMALL BUS J","SAGE PUBLICATIONS LTD","0266-2426","1741-2870","MANAGEMENT","SSCI","4,534","3.9","0.84","6.3","45.63"%,"100"%,"39",
"INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS","INT J FINANC ECON","WILEY","1076-9307","1099-1158","BUSINESS, FINANCE","SSCI","4,532","2.8","0.82","3.1","31.33"%,"100"%,"174",
"GROUP PROCESSES & INTERGROUP RELATIONS","GROUP PROCESS INTERG","SAGE PUBLICATIONS LTD","1368-4302","1461-7188","PSYCHOLOGY, SOCIAL","SSCI","4,512","2.3","1.24","3.8","28.84"%,"95.38"%,"65",
"International Journal of Productivity and Performance Management","INT J PRODUCT PERFOR","EMERALD GROUP PUBLISHING LTD","1741-0401","1758-6658","MANAGEMENT","ESCI","4,440","3.5","0.78","4.1","5.56"%,"96.92"%,"130",
"INTERNATIONAL MARKETING REVIEW","INT MARKET REV","EMERALD GROUP PUBLISHING LTD","0265-1335","1758-6763","BUSINESS","SSCI","4,429","4.6","0.91","6.2","10.63"%,"94.64"%,"56",
"European Journal of Political Economy","EUR J POLIT ECON","ELSEVIER SCIENCE INC","0176-2680","1873-5703","ECONOMICS","SSCI","4,380","2.4","0.98","3","35.78"%,"98.23"%,"113",
"European Journal of Political Economy","EUR J POLIT ECON","ELSEVIER SCIENCE INC","0176-2680","1873-5703","POLITICAL SCIENCE","SSCI","4,380","2.4","0.98","3","35.78"%,"98.23"%,"113",
"ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT","ENTREP REGION DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0898-5626","1464-5114","BUSINESS","SSCI","4,375","3.6","0.89","5.5","46.99"%,"100"%,"65",
"ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT","ENTREP REGION DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0898-5626","1464-5114","DEVELOPMENT STUDIES","SSCI","4,375","3.6","0.89","5.5","46.99"%,"100"%,"65",
"Human Resource Management Journal","HUM RESOUR MANAG J","WILEY","0954-5395","1748-8583","INDUSTRIAL RELATIONS & LABOR","SSCI","4,354","6.2","1.54","7.8","63.57"%,"91.67"%,"36",
"Human Resource Management Journal","HUM RESOUR MANAG J","WILEY","0954-5395","1748-8583","MANAGEMENT","SSCI","4,354","6.2","1.54","7.8","63.57"%,"91.67"%,"36",
"INDUSTRIAL AND CORPORATE CHANGE","IND CORP CHANGE","OXFORD UNIV PRESS","0960-6491","1464-3650","BUSINESS","SSCI","4,338","1.8","0.64","3","27.42"%,"100"%,"44",
"INDUSTRIAL AND CORPORATE CHANGE","IND CORP CHANGE","OXFORD UNIV PRESS","0960-6491","1464-3650","ECONOMICS","SSCI","4,338","1.8","0.64","3","27.42"%,"100"%,"44",
"INDUSTRIAL AND CORPORATE CHANGE","IND CORP CHANGE","OXFORD UNIV PRESS","0960-6491","1464-3650","MANAGEMENT","SSCI","4,338","1.8","0.64","3","27.42"%,"100"%,"44",
"Electronic Markets","ELECTRON MARK","SPRINGER HEIDELBERG","1019-6781","1422-8890","BUSINESS","SSCI","4,285","6.8","1.63","10","67.66"%,"100"%,"55",
"Electronic Markets","ELECTRON MARK","SPRINGER HEIDELBERG","1019-6781","1422-8890","MANAGEMENT","SSCI","4,285","6.8","1.63","10","67.66"%,"100"%,"55",
"Family Business Review","FAM BUS REV","SAGE PUBLICATIONS INC","0894-4865","1741-6248","BUSINESS","SSCI","4,103","5.6","1.09","8.8","33.33"%,"50"%,"12",
"European Journal of Health Economics","EUR J HEALTH ECON","SPRINGER","1618-7598","1618-7601","ECONOMICS","SSCI","4,070","3","1.02","3.8","66.45"%,"98.94"%,"94",
"European Journal of Health Economics","EUR J HEALTH ECON","SPRINGER","1618-7598","1618-7601","HEALTH POLICY & SERVICES","SSCI","4,070","3","1.02","3.8","66.45"%,"98.94"%,"94",
"GROUP & ORGANIZATION MANAGEMENT","GROUP ORGAN MANAGE","SAGE PUBLICATIONS INC","1059-6011","1552-3993","MANAGEMENT","SSCI","4,010","3.3","1","4.9","18.28"%,"100"%,"65",
"GROUP & ORGANIZATION MANAGEMENT","GROUP ORGAN MANAGE","SAGE PUBLICATIONS INC","1059-6011","1552-3993","PSYCHOLOGY, APPLIED","SSCI","4,010","3.3","1","4.9","18.28"%,"100"%,"65",
"Energy & Environment","ENERG ENVIRON-UK","SAGE PUBLICATIONS LTD","0958-305X","2048-4070","ENVIRONMENTAL STUDIES","SSCI","3,967","4.8","1.09","4.2","1.86"%,"95.71"%,"163",
"INTERNATIONAL JOURNAL OF MANPOWER","INT J MANPOWER","EMERALD GROUP PUBLISHING LTD","0143-7720","1758-6577","INDUSTRIAL RELATIONS & LABOR","SSCI","3,881","3.5","1.32","5.2","9.45"%,"100"%,"82",
"INTERNATIONAL JOURNAL OF MANPOWER","INT J MANPOWER","EMERALD GROUP PUBLISHING LTD","0143-7720","1758-6577","MANAGEMENT","SSCI","3,881","3.5","1.32","5.2","9.45"%,"100"%,"82",
"International Journal of Emerging Markets","INT J EMERG MARK","EMERALD GROUP PUBLISHING LTD","1746-8809","1746-8817","BUSINESS","SSCI","3,851","3","0.77","3.4","4.2"%,"97.96"%,"98",
"International Journal of Emerging Markets","INT J EMERG MARK","EMERALD GROUP PUBLISHING LTD","1746-8809","1746-8817","ECONOMICS","SSCI","3,851","3","0.77","3.4","4.2"%,"97.96"%,"98",
"International Journal of Emerging Markets","INT J EMERG MARK","EMERALD GROUP PUBLISHING LTD","1746-8809","1746-8817","MANAGEMENT","SSCI","3,851","3","0.77","3.4","4.2"%,"97.96"%,"98",
"ILR Review","ILR REV","SAGE PUBLICATIONS INC","0019-7939","2162-271X","INDUSTRIAL RELATIONS & LABOR","SSCI","3,703","3.7","1.48","4.4","26.25"%,"100"%,"36",
"International Transactions in Operational Research","INT T OPER RES","WILEY","0969-6016","1475-3995","MANAGEMENT","SSCI","3,683","2.9","0.65","2.9","25"%,"99.28"%,"138",
"International Transactions in Operational Research","INT T OPER RES","WILEY","0969-6016","1475-3995","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,683","2.9","0.65","2.9","25"%,"99.28"%,"138",
"International Journal of Quality & Reliability Management","INT J QUAL RELIAB MA","EMERALD GROUP PUBLISHING LTD","0265-671X","1758-6682","MANAGEMENT","ESCI","3,679","3","0.66","3.2","4.83"%,"96.15"%,"104",
"EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS","EUR J INT RELAT","SAGE PUBLICATIONS LTD","1354-0661","1460-3713","INTERNATIONAL RELATIONS","SSCI","3,671","2.9","1.5","4","57.81"%,"100"%,"34",
"FINANCIAL MANAGEMENT","FINANC MANAGE","WILEY","0046-3892","1755-053X","BUSINESS, FINANCE","SSCI","3,636","6","1.24","4.8","34.62"%,"100"%,"40",
"EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT","EUR J PSYCHOL ASSESS","HOGREFE PUBLISHING CORP","1015-5759","2151-2426","PSYCHOLOGY, APPLIED","SSCI","3,562","4.1","0.86","3.6","22.22"%,"76.56"%,"64",
"ETHICS","ETHICS","UNIV CHICAGO PRESS","0014-1704","1539-297X","ETHICS","SSCI","3,495","2.4","2.2","3","0"%,"93.33"%,"15",
"ETHICS","ETHICS","UNIV CHICAGO PRESS","0014-1704","1539-297X","PHILOSOPHY","AHCI","3,495","2.4","2.2","3","0"%,"93.33"%,"15",
"INFORMATION PROCESSING LETTERS","INFORM PROCESS LETT","ELSEVIER","0020-0190","1872-6119","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","3,437","0.6","0.18","0.6","21.23"%,"98.33"%,"60",
"INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","INT J COMPUT INTEG M","TAYLOR & FRANCIS LTD","0951-192X","1362-3052","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","3,428","4","0.7","4.2","17.22"%,"96.2"%,"79",
"INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","INT J COMPUT INTEG M","TAYLOR & FRANCIS LTD","0951-192X","1362-3052","ENGINEERING, MANUFACTURING","SCIE","3,428","4","0.7","4.2","17.22"%,"96.2"%,"79",
"INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","INT J COMPUT INTEG M","TAYLOR & FRANCIS LTD","0951-192X","1362-3052","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,428","4","0.7","4.2","17.22"%,"96.2"%,"79",
"International Journal of Sustainable Transportation","INT J SUSTAIN TRANSP","TAYLOR & FRANCIS INC","1556-8318","1556-8334","ENVIRONMENTAL STUDIES","SSCI","3,424","3.9","0.62","5","26.9"%,"91.3"%,"69",
"International Journal of Sustainable Transportation","INT J SUSTAIN TRANSP","TAYLOR & FRANCIS INC","1556-8318","1556-8334","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SSCI","3,424","3.9","0.62","5","26.9"%,"91.3"%,"69",
"International Journal of Sustainable Transportation","INT J SUSTAIN TRANSP","TAYLOR & FRANCIS INC","1556-8318","1556-8334","TRANSPORTATION","SSCI","3,424","3.9","0.62","5","26.9"%,"91.3"%,"69",
"INTERNATIONAL MIGRATION","INT MIGR","WILEY","0020-7985","1468-2435","DEMOGRAPHY","SSCI","3,384","2.1","0.81","2.5","51.46"%,"100"%,"97",
"Educational Management Administration & Leadership","EDUC MANAG ADM LEAD","SAGE PUBLICATIONS LTD","1741-1432","1741-1440","EDUCATION & EDUCATIONAL RESEARCH","SSCI","3,379","3.3","1.43","4.2","26.84"%,"96.92"%,"65",
"International Journal of Logistics-Research and Applications","INT J LOGIST-RES APP","TAYLOR & FRANCIS LTD","1367-5567","1469-848X","MANAGEMENT","SSCI","3,355","4.9","1.05","6.2","16.91"%,"100"%,"62",
"Emerging Markets Review","EMERG MARK REV","ELSEVIER","1566-0141","1873-6173","BUSINESS, FINANCE","SSCI","3,273","4.6","1.67","5.1","13.55"%,"98.98"%,"98",
"Emerging Markets Review","EMERG MARK REV","ELSEVIER","1566-0141","1873-6173","ECONOMICS","SSCI","3,273","4.6","1.67","5.1","13.55"%,"98.98"%,"98",
"ENERGY JOURNAL","ENERG J","SAGE PUBLICATIONS INC","0195-6574","1944-9089","ECONOMICS","SSCI","3,266","2.4","0.67","2.6","10.73"%,"100"%,"88",
"ENERGY JOURNAL","ENERG J","SAGE PUBLICATIONS INC","0195-6574","1944-9089","ENERGY & FUELS","SCIE","3,266","2.4","0.67","2.6","10.73"%,"100"%,"88",
