"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT","STOCH ENV RES RISK A","SPRINGER","1436-3240","1436-3259","ENGINEERING, CIVIL","SCIE","6,873","3.6","0.99","3.6","16.69"%,"99.59"%,"242",
"STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT","STOCH ENV RES RISK A","SPRINGER","1436-3240","1436-3259","ENGINEERING, ENVIRONMENTAL","SCIE","6,873","3.6","0.99","3.6","16.69"%,"99.59"%,"242",
"STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT","STOCH ENV RES RISK A","SPRINGER","1436-3240","1436-3259","ENVIRONMENTAL SCIENCES","SCIE","6,873","3.6","0.99","3.6","16.69"%,"99.59"%,"242",
"STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT","STOCH ENV RES RISK A","SPRINGER","1436-3240","1436-3259","STATISTICS & PROBABILITY","SCIE","6,873","3.6","0.99","3.6","16.69"%,"99.59"%,"242",
"STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT","STOCH ENV RES RISK A","SPRINGER","1436-3240","1436-3259","WATER RESOURCES","SCIE","6,873","3.6","0.99","3.6","16.69"%,"99.59"%,"242",
"QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY","Q J EXP PSYCHOL","SAGE PUBLICATIONS LTD","1747-0218","1747-0226","PHYSIOLOGY","SCIE","6,840","1.4","0.54","1.8","32.38"%,"100"%,"168",
"QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY","Q J EXP PSYCHOL","SAGE PUBLICATIONS LTD","1747-0218","1747-0226","PSYCHOLOGY","SCIE","6,840","1.4","0.54","1.8","32.38"%,"100"%,"168",
"QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY","Q J EXP PSYCHOL","SAGE PUBLICATIONS LTD","1747-0218","1747-0226","PSYCHOLOGY, EXPERIMENTAL","SSCI","6,840","1.4","0.54","1.8","32.38"%,"100"%,"168",
"Journal of Travel & Tourism Marketing","J TRAVEL TOUR MARK","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1054-8408","1540-7306","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","6,614","9","2.25","9.2","6.92"%,"98.61"%,"72",
"REVIEW OF ACCOUNTING STUDIES","REV ACCOUNT STUD","SPRINGER","1380-6653","1573-7136","BUSINESS, FINANCE","SSCI","6,436","5.8","1.33","7","40.48"%,"100"%,"51",
"SOCIO-ECONOMIC PLANNING SCIENCES","SOCIO-ECON PLAN SCI","ELSEVIER SCIENCE INC","0038-0121","1873-6041","ECONOMICS","SSCI","6,421","5.4","1.69","5.3","25.65"%,"97.56"%,"287",
"SOCIO-ECONOMIC PLANNING SCIENCES","SOCIO-ECON PLAN SCI","ELSEVIER SCIENCE INC","0038-0121","1873-6041","MANAGEMENT","SSCI","6,421","5.4","1.69","5.3","25.65"%,"97.56"%,"287",
"SOCIO-ECONOMIC PLANNING SCIENCES","SOCIO-ECON PLAN SCI","ELSEVIER SCIENCE INC","0038-0121","1873-6041","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","6,421","5.4","1.69","5.3","25.65"%,"97.56"%,"287",
"STOCHASTIC PROCESSES AND THEIR APPLICATIONS","STOCH PROC APPL","ELSEVIER","0304-4149","1879-209X","STATISTICS & PROBABILITY","SCIE","6,128","1.2","0.61","1.4","25.31"%,"100"%,"174",
"SOCIAL PROBLEMS","SOC PROBL","OXFORD UNIV PRESS INC","0037-7791","1533-8533","SOCIOLOGY","SSCI","6,082","2.9","1.64","4.1","10.73"%,"100"%,"71",
"MOTIVATION AND EMOTION","MOTIV EMOTION","SPRINGER/PLENUM PUBLISHERS","0146-7239","1573-6644","PSYCHOLOGY, EXPERIMENTAL","SSCI","6,071","2.5","0.86","4.2","34.29"%,"100"%,"48",
"MOTIVATION AND EMOTION","MOTIV EMOTION","SPRINGER/PLENUM PUBLISHERS","0146-7239","1573-6644","PSYCHOLOGY, SOCIAL","SSCI","6,071","2.5","0.86","4.2","34.29"%,"100"%,"48",
"POPULATION AND DEVELOPMENT REVIEW","POPUL DEV REV","WILEY","0098-7921","1728-4457","DEMOGRAPHY","SSCI","6,014","4.8","2.19","8.8","56.1"%,"100"%,"84",
"POPULATION AND DEVELOPMENT REVIEW","POPUL DEV REV","WILEY","0098-7921","1728-4457","SOCIOLOGY","SSCI","6,014","4.8","2.19","8.8","56.1"%,"100"%,"84",
"PERSONNEL REVIEW","PERS REV","EMERALD GROUP PUBLISHING LTD","0048-3486","1758-6933","INDUSTRIAL RELATIONS & LABOR","SSCI","5,871","4.2","1.2","4.8","5.35"%,"91.11"%,"90",
"PERSONNEL REVIEW","PERS REV","EMERALD GROUP PUBLISHING LTD","0048-3486","1758-6933","MANAGEMENT","SSCI","5,871","4.2","1.2","4.8","5.35"%,"91.11"%,"90",
"PERSONNEL REVIEW","PERS REV","EMERALD GROUP PUBLISHING LTD","0048-3486","1758-6933","PSYCHOLOGY, APPLIED","SSCI","5,871","4.2","1.2","4.8","5.35"%,"91.11"%,"90",
"SOCIAL SCIENCE QUARTERLY","SOC SCI QUART","WILEY","0038-4941","1540-6237","POLITICAL SCIENCE","SSCI","5,870","1.8","0.84","2.2","32.58"%,"100"%,"143",
"SOCIAL SCIENCE QUARTERLY","SOC SCI QUART","WILEY","0038-4941","1540-6237","SOCIOLOGY","SSCI","5,870","1.8","0.84","2.2","32.58"%,"100"%,"143",
"PUBLIC ADMINISTRATION","PUBLIC ADMIN","WILEY","0033-3298","1467-9299","POLITICAL SCIENCE","SSCI","5,829","5.1","1.99","5.5","56.7"%,"100"%,"56",
"PUBLIC ADMINISTRATION","PUBLIC ADMIN","WILEY","0033-3298","1467-9299","PUBLIC ADMINISTRATION","SSCI","5,829","5.1","1.99","5.5","56.7"%,"100"%,"56",
"PUBLIC RELATIONS REVIEW","PUBLIC RELAT REV","ELSEVIER SCIENCE INC","0363-8111","1873-4537","BUSINESS","SSCI","5,622","3.4","1.27","4.5","13.91"%,"96.34"%,"82",
"PUBLIC RELATIONS REVIEW","PUBLIC RELAT REV","ELSEVIER SCIENCE INC","0363-8111","1873-4537","COMMUNICATION","SSCI","5,622","3.4","1.27","4.5","13.91"%,"96.34"%,"82",
"TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT","TECHNOL ANAL STRATEG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0953-7325","1465-3990","MANAGEMENT","SSCI","5,546","2.8","0.64","3.4","6.1"%,"96.83"%,"221",
"RAND JOURNAL OF ECONOMICS","RAND J ECON","WILEY","0741-6261","1756-2171","ECONOMICS","SSCI","5,381","2.8","0.88","3","51.28"%,"100"%,"28",
"Structural Change and Economic Dynamics","STRUCT CHANGE ECON D","ELSEVIER","0954-349X","1873-6017","ECONOMICS","SSCI","5,278","5.5","1.78","5.4","23"%,"99.43"%,"176",
"KNOWLEDGE AND INFORMATION SYSTEMS","KNOWL INF SYST","SPRINGER LONDON LTD","0219-1377","0219-3116","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,235","3.1","0.56","2.8","15.86"%,"89.74"%,"273",
"KNOWLEDGE AND INFORMATION SYSTEMS","KNOWL INF SYST","SPRINGER LONDON LTD","0219-1377","0219-3116","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","5,235","3.1","0.56","2.8","15.86"%,"89.74"%,"273",
"MATHEMATICS OF OPERATIONS RESEARCH","MATH OPER RES","INFORMS","0364-765X","1526-5471","MATHEMATICS, APPLIED","SCIE","5,200","1.9","0.62","2","0"%,"100"%,"136",
"MATHEMATICS OF OPERATIONS RESEARCH","MATH OPER RES","INFORMS","0364-765X","1526-5471","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","5,200","1.9","0.62","2","0"%,"100"%,"136",
"POLITICAL STUDIES","POLIT STUD-LONDON","SAGE PUBLICATIONS LTD","0032-3217","1467-9248","INTERNATIONAL RELATIONS","SSCI","5,189","2.8","1.36","3.9","50.92"%,"100"%,"77",
"POLITICAL STUDIES","POLIT STUD-LONDON","SAGE PUBLICATIONS LTD","0032-3217","1467-9248","POLITICAL SCIENCE","SSCI","5,189","2.8","1.36","3.9","50.92"%,"100"%,"77",
"PSYCHOLOGY OF WOMEN QUARTERLY","PSYCHOL WOMEN QUART","SAGE PUBLICATIONS LTD","0361-6843","1471-6402","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","5,165","3","1.5","4.6","17.53"%,"100"%,"27",
"PSYCHOLOGY OF WOMEN QUARTERLY","PSYCHOL WOMEN QUART","SAGE PUBLICATIONS LTD","0361-6843","1471-6402","WOMENS STUDIES","SSCI","5,165","3","1.5","4.6","17.53"%,"100"%,"27",
"PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG","PSYCHOL RES-PSYCH FO","SPRINGER HEIDELBERG","0340-0727","1430-2772","PSYCHOLOGY, EXPERIMENTAL","SSCI","4,999","2.3","0.69","2.5","52.69"%,"86.96"%,"115",
"PUBLIC CHOICE","PUBLIC CHOICE","SPRINGER","0048-5829","1573-7101","ECONOMICS","SSCI","4,988","2.2","0.92","2","31.5"%,"100"%,"96",
"PUBLIC CHOICE","PUBLIC CHOICE","SPRINGER","0048-5829","1573-7101","POLITICAL SCIENCE","SSCI","4,988","2.2","0.92","2","31.5"%,"100"%,"96",
"R & D MANAGEMENT","R&D MANAGE","WILEY","0033-6807","1467-9310","BUSINESS","SSCI","4,888","5.7","1.19","6.5","57.56"%,"100"%,"69",
"R & D MANAGEMENT","R&D MANAGE","WILEY","0033-6807","1467-9310","MANAGEMENT","SSCI","4,888","5.7","1.19","6.5","57.56"%,"100"%,"69",
"REGIONAL SCIENCE AND URBAN ECONOMICS","REG SCI URBAN ECON","ELSEVIER","0166-0462","1879-2308","ECONOMICS","SSCI","4,813","2.9","0.96","3.7","22.44"%,"100"%,"60",
"REGIONAL SCIENCE AND URBAN ECONOMICS","REG SCI URBAN ECON","ELSEVIER","0166-0462","1879-2308","ENVIRONMENTAL STUDIES","SSCI","4,813","2.9","0.96","3.7","22.44"%,"100"%,"60",
"REGIONAL SCIENCE AND URBAN ECONOMICS","REG SCI URBAN ECON","ELSEVIER","0166-0462","1879-2308","URBAN STUDIES","SSCI","4,813","2.9","0.96","3.7","22.44"%,"100"%,"60",
"Journal of Transport & Health","J TRANSP HEALTH","ELSEVIER SCI LTD","2214-1405","N/A","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","4,783","3.3","0.87","4","39.25"%,"95.76"%,"165",
"Journal of Transport & Health","J TRANSP HEALTH","ELSEVIER SCI LTD","2214-1405","N/A","TRANSPORTATION","SSCI","4,783","3.3","0.87","4","39.25"%,"95.76"%,"165",
"Review of Finance","REV FINANC","OXFORD UNIV PRESS","1572-3097","1573-692X","BUSINESS, FINANCE","SSCI","4,778","8.4","2.02","7.8","31.01"%,"100"%,"46",
"Review of Finance","REV FINANC","OXFORD UNIV PRESS","1572-3097","1573-692X","ECONOMICS","SSCI","4,778","8.4","2.02","7.8","31.01"%,"100"%,"46",
"STATISTICS & PROBABILITY LETTERS","STAT PROBABIL LETT","ELSEVIER","0167-7152","1879-2103","STATISTICS & PROBABILITY","SCIE","4,760","0.7","0.42","0.8","15.28"%,"100"%,"228",
"LABOUR ECONOMICS","LABOUR ECON","ELSEVIER","0927-5371","1879-1034","ECONOMICS","SSCI","4,750","2.6","0.75","3.1","43.56"%,"100"%,"132",
"OXFORD BULLETIN OF ECONOMICS AND STATISTICS","OXFORD B ECON STAT","WILEY","0305-9049","1468-0084","ECONOMICS","SSCI","4,733","1.4","0.56","2.3","48.37"%,"100"%,"53",
"OXFORD BULLETIN OF ECONOMICS AND STATISTICS","OXFORD B ECON STAT","WILEY","0305-9049","1468-0084","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","4,733","1.4","0.56","2.3","48.37"%,"100"%,"53",
"OXFORD BULLETIN OF ECONOMICS AND STATISTICS","OXFORD B ECON STAT","WILEY","0305-9049","1468-0084","STATISTICS & PROBABILITY","SCIE","4,733","1.4","0.56","2.3","48.37"%,"100"%,"53",
"ORGANIZATION","ORGANIZATION","SAGE PUBLICATIONS LTD","1350-5084","1461-7323","MANAGEMENT","SSCI","4,722","3.1","0.71","4.5","38.73"%,"89.36"%,"47",
"Research in Organizational Behavior","RES ORGAN BEHAV","ELSEVIER SCIENCE INC","0191-3085","0191-3085","MANAGEMENT","SSCI","4,720","3.6","0.67","4.9","32"%,"100"%,"7",
"Research in Organizational Behavior","RES ORGAN BEHAV","ELSEVIER SCIENCE INC","0191-3085","0191-3085","PSYCHOLOGY, APPLIED","SSCI","4,720","3.6","0.67","4.9","32"%,"100"%,"7",
"PROBABILITY THEORY AND RELATED FIELDS","PROBAB THEORY REL","SPRINGER HEIDELBERG","0178-8051","1432-2064","STATISTICS & PROBABILITY","SCIE","4,537","1.6","0.85","2.1","41.08"%,"100"%,"101",
"SERVICE INDUSTRIES JOURNAL","SERV IND J","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0264-2069","1743-9507","MANAGEMENT","SSCI","4,401","7.4","1.82","7.4","6.25"%,"97.83"%,"46",
"REVIEW OF INTERNATIONAL POLITICAL ECONOMY","REV INT POLIT ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0969-2290","1466-4526","ECONOMICS","SSCI","4,393","3.5","1.66","5.3","57.46"%,"100"%,"51",
"REVIEW OF INTERNATIONAL POLITICAL ECONOMY","REV INT POLIT ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0969-2290","1466-4526","INTERNATIONAL RELATIONS","SSCI","4,393","3.5","1.66","5.3","57.46"%,"100"%,"51",
"REVIEW OF INTERNATIONAL POLITICAL ECONOMY","REV INT POLIT ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0969-2290","1466-4526","POLITICAL SCIENCE","SSCI","4,393","3.5","1.66","5.3","57.46"%,"100"%,"51",
"MEDIA CULTURE & SOCIETY","MEDIA CULT SOC","SAGE PUBLICATIONS LTD","0163-4437","1460-3675","COMMUNICATION","SSCI","4,391","3.3","1.44","4","35.28"%,"100"%,"96",
"MEDIA CULTURE & SOCIETY","MEDIA CULT SOC","SAGE PUBLICATIONS LTD","0163-4437","1460-3675","SOCIOLOGY","SSCI","4,391","3.3","1.44","4","35.28"%,"100"%,"96",
"LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL","LEADERSHIP ORG DEV J","EMERALD GROUP PUBLISHING LTD","0143-7739","1472-5347","MANAGEMENT","SSCI","4,276","3.6","0.96","5.2","7.33"%,"100"%,"87",
"STRESS AND HEALTH","STRESS HEALTH","WILEY","1532-3005","1532-2998","PSYCHIATRY","SCIE, SSCI","4,273","2.7","0.92","3.7","43.65"%,"93.84"%,"146",
"STRESS AND HEALTH","STRESS HEALTH","WILEY","1532-3005","1532-2998","PSYCHOLOGY","SCIE","4,273","2.7","0.92","3.7","43.65"%,"93.84"%,"146",
"STRESS AND HEALTH","STRESS HEALTH","WILEY","1532-3005","1532-2998","PSYCHOLOGY, APPLIED","SSCI","4,273","2.7","0.92","3.7","43.65"%,"93.84"%,"146",
"MANAGERIAL AND DECISION ECONOMICS","MANAG DECIS ECON","JOHN WILEY & SONS LTD","0143-6570","1099-1468","ECONOMICS","SSCI","4,177","2.7","0.75","2.6","9.12"%,"100"%,"385",
"MANAGERIAL AND DECISION ECONOMICS","MANAG DECIS ECON","JOHN WILEY & SONS LTD","0143-6570","1099-1468","MANAGEMENT","SSCI","4,177","2.7","0.75","2.6","9.12"%,"100"%,"385",
"NONPROFIT AND VOLUNTARY SECTOR QUARTERLY","NONPROF VOLUNT SEC Q","SAGE PUBLICATIONS INC","0899-7640","1552-7395","SOCIAL ISSUES","SSCI","4,172","2.5","0.77","3.1","28.72"%,"100"%,"51",
"POLITICAL COMMUNICATION","POLIT COMMUN","TAYLOR & FRANCIS INC","1058-4609","1091-7675","COMMUNICATION","SSCI","4,004","5.1","2.52","7.3","39.55"%,"100"%,"48",
"POLITICAL COMMUNICATION","POLIT COMMUN","TAYLOR & FRANCIS INC","1058-4609","1091-7675","POLITICAL SCIENCE","SSCI","4,004","5.1","2.52","7.3","39.55"%,"100"%,"48",
"Strategic Entrepreneurship Journal","STRATEG ENTREP J","WILEY","1932-4391","1932-443X","BUSINESS","SSCI","3,999","6.3","1.15","8","44.44"%,"100"%,"30",
"Strategic Entrepreneurship Journal","STRATEG ENTREP J","WILEY","1932-4391","1932-443X","MANAGEMENT","SSCI","3,999","6.3","1.15","8","44.44"%,"100"%,"30",
"SOCIOLOGICAL THEORY","SOCIOL THEOR","SAGE PUBLICATIONS INC","0735-2751","1467-9558","SOCIOLOGY","SSCI","3,954","5","2.46","5.6","18"%,"100"%,"15",
"SCIENCE TECHNOLOGY & HUMAN VALUES","SCI TECHNOL HUM VAL","SAGE PUBLICATIONS INC","0162-2439","1552-8251","SOCIAL ISSUES","SSCI","3,943","3.3","0.83","4.1","47.14"%,"100"%,"62",
"NAVAL RESEARCH LOGISTICS","NAV RES LOG","WILEY","0894-069X","1520-6750","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,910","2.1","0.42","2.5","19.88"%,"100"%,"65",
"POLICY STUDIES JOURNAL","POLICY STUD J","WILEY","0190-292X","1541-0072","POLITICAL SCIENCE","SSCI","3,906","4.9","2.16","5.6","42.73"%,"100"%,"51",
"POLICY STUDIES JOURNAL","POLICY STUD J","WILEY","0190-292X","1541-0072","PUBLIC ADMINISTRATION","SSCI","3,906","4.9","2.16","5.6","42.73"%,"100"%,"51",
"QUARTERLY REVIEW OF ECONOMICS AND FINANCE","Q REV ECON FINANC","ELSEVIER SCIENCE INC","1062-9769","1878-4259","ECONOMICS","SSCI","3,785","3.1","1.26","3.2","13.13"%,"99.07"%,"108",
"STATISTICA SINICA","STAT SINICA","STATISTICA SINICA","1017-0405","1996-8507","STATISTICS & PROBABILITY","SCIE","3,758","1.2","0.73","1.5","0"%,"100"%,"105",
"Marketing Intelligence & Planning","MARK INTELL PLAN","EMERALD GROUP PUBLISHING LTD","0263-4503","1758-8049","BUSINESS","SSCI","3,756","5.4","0.92","5.4","1.35"%,"94.62"%,"93",
"QUANTITATIVE FINANCE","QUANT FINANC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1469-7688","1469-7696","BUSINESS, FINANCE","SSCI","3,747","1.4","0.44","2.1","23.89"%,"100"%,"99",
"QUANTITATIVE FINANCE","QUANT FINANC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1469-7688","1469-7696","ECONOMICS","SSCI","3,747","1.4","0.44","2.1","23.89"%,"100"%,"99",
"QUANTITATIVE FINANCE","QUANT FINANC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1469-7688","1469-7696","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","3,747","1.4","0.44","2.1","23.89"%,"100"%,"99",
"QUANTITATIVE FINANCE","QUANT FINANC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1469-7688","1469-7696","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","3,747","1.4","0.44","2.1","23.89"%,"100"%,"99",
"MIT SLOAN MANAGEMENT REVIEW","MIT SLOAN MANAGE REV","SLOAN MANAGEMENT REVIEW ASSOC, MIT SLOAN SCHOOL MANAGEMENT","1532-9194","1532-8937","BUSINESS","SSCI","3,704","4","0.28","4.3","0"%,"64.71"%,"17",
"MIT SLOAN MANAGEMENT REVIEW","MIT SLOAN MANAGE REV","SLOAN MANAGEMENT REVIEW ASSOC, MIT SLOAN SCHOOL MANAGEMENT","1532-9194","1532-8937","MANAGEMENT","SSCI","3,704","4","0.28","4.3","0"%,"64.71"%,"17",
"REVIEW OF INTERNATIONAL STUDIES","REV INT STUD","CAMBRIDGE UNIV PRESS","0260-2105","1469-9044","INTERNATIONAL RELATIONS","SSCI","3,624","3.7","1.83","4.3","74.13"%,"100"%,"83",
"SPORT EDUCATION AND SOCIETY","SPORT EDUC SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1357-3322","1470-1243","EDUCATION & EDUCATIONAL RESEARCH","SSCI","3,614","2.7","0.99","3.6","51.61"%,"100"%,"101",
"SPORT EDUCATION AND SOCIETY","SPORT EDUC SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1357-3322","1470-1243","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","3,614","2.7","0.99","3.6","51.61"%,"100"%,"101",
"SPORT EDUCATION AND SOCIETY","SPORT EDUC SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1357-3322","1470-1243","SPORT SCIENCES","SCIE","3,614","2.7","0.99","3.6","51.61"%,"100"%,"101",
"OPERATIONS RESEARCH LETTERS","OPER RES LETT","ELSEVIER","0167-6377","1872-7468","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,529","0.9","0.19","1","19.21"%,"100"%,"113",
"Population Space and Place","POPUL SPACE PLACE","WILEY","1544-8444","1544-8452","DEMOGRAPHY","SSCI","3,516","2.6","1.04","2.9","56.69"%,"100"%,"103",
"Population Space and Place","POPUL SPACE PLACE","WILEY","1544-8444","1544-8452","GEOGRAPHY","SSCI","3,516","2.6","1.04","2.9","56.69"%,"100"%,"103",
"OPTIMIZATION","OPTIMIZATION","TAYLOR & FRANCIS LTD","0233-1934","1029-4945","MATHEMATICS, APPLIED","SCIE","3,502","1.8","0.63","2","6.18"%,"100"%,"189",
"OPTIMIZATION","OPTIMIZATION","TAYLOR & FRANCIS LTD","0233-1934","1029-4945","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,502","1.8","0.63","2","6.18"%,"100"%,"189",
"Project Management Journal","PROJ MANAG J","SAGE PUBLICATIONS INC","8756-9728","1938-9507","MANAGEMENT","SSCI","3,376","4.4","1.05","5.7","25.37"%,"100"%,"50",
"ORGANIZATION & ENVIRONMENT","ORGAN ENVIRON","SAGE PUBLICATIONS INC","1086-0266","1552-7417","ENVIRONMENTAL STUDIES","SSCI","3,374","7.3","1.19","7.5","46.55"%,"91.3"%,"23",
"ORGANIZATION & ENVIRONMENT","ORGAN ENVIRON","SAGE PUBLICATIONS INC","1086-0266","1552-7417","MANAGEMENT","SSCI","3,374","7.3","1.19","7.5","46.55"%,"91.3"%,"23",
"Social Responsibility Journal","SOC RESPONSIB J","EMERALD GROUP PUBLISHING LTD","1747-1117","1758-857X","MANAGEMENT","ESCI","3,354","4.1","0.87","4.6","6.53"%,"96.88"%,"96",
"Research in Transportation Business and Management","RES TRANSP BUS MANAG","ELSEVIER","2210-5395","2210-5409","BUSINESS","SSCI","3,352","4.4","1.13","4.6","24.49"%,"99.28"%,"139",
"Research in Transportation Business and Management","RES TRANSP BUS MANAG","ELSEVIER","2210-5395","2210-5409","MANAGEMENT","SSCI","3,352","4.4","1.13","4.6","24.49"%,"99.28"%,"139",
"Research in Transportation Business and Management","RES TRANSP BUS MANAG","ELSEVIER","2210-5395","2210-5409","TRANSPORTATION","SSCI","3,352","4.4","1.13","4.6","24.49"%,"99.28"%,"139",
"POLICY SCIENCES","POLICY SCI","SPRINGER","0032-2687","1573-0891","PUBLIC ADMINISTRATION","SSCI","3,336","3.7","1.69","4.4","56.6"%,"95"%,"40",
"POLICY SCIENCES","POLICY SCI","SPRINGER","0032-2687","1573-0891","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","3,336","3.7","1.69","4.4","56.6"%,"95"%,"40",
"Management Research Review","MANAG RES REV","EMERALD GROUP PUBLISHING LTD","2040-8269","2040-8277","MANAGEMENT","ESCI","3,286","3.5","0.71","3.9","7.26"%,"93.51"%,"77",
"LEISURE SCIENCES","LEISURE SCI","TAYLOR & FRANCIS INC","0149-0400","1521-0588","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","3,266","1.9","0.82","2.7","13.14"%,"100"%,"86",
"LEISURE SCIENCES","LEISURE SCI","TAYLOR & FRANCIS INC","0149-0400","1521-0588","SOCIOLOGY","SSCI","3,266","1.9","0.82","2.7","13.14"%,"100"%,"86",
"NEW POLITICAL ECONOMY","NEW POLIT ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1356-3467","1469-9923","ECONOMICS","SSCI","3,257","4.6","1.72","5","67.53"%,"100"%,"51",
"NEW POLITICAL ECONOMY","NEW POLIT ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1356-3467","1469-9923","INTERNATIONAL RELATIONS","SSCI","3,257","4.6","1.72","5","67.53"%,"100"%,"51",
"NEW POLITICAL ECONOMY","NEW POLIT ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1356-3467","1469-9923","POLITICAL SCIENCE","SSCI","3,257","4.6","1.72","5","67.53"%,"100"%,"51",
"Strategic Organization","STRATEG ORGAN","SAGE PUBLICATIONS LTD","1476-1270","1741-315X","BUSINESS","SSCI","3,256","3.8","1","6.6","28.83"%,"100"%,"37",
"Strategic Organization","STRATEG ORGAN","SAGE PUBLICATIONS LTD","1476-1270","1741-315X","MANAGEMENT","SSCI","3,256","3.8","1","6.6","28.83"%,"100"%,"37",
"MARKETING LETTERS","MARKET LETT","SPRINGER","0923-0645","1573-059X","BUSINESS","SSCI","3,251","2.5","0.47","3.6","29.8"%,"100"%,"50",
"Sport Management Review","SPORT MANAG REV","TAYLOR & FRANCIS LTD","1441-3523","1839-2083","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","3,238","3.8","0.89","5","30.61"%,"100"%,"33",
"Sport Management Review","SPORT MANAG REV","TAYLOR & FRANCIS LTD","1441-3523","1839-2083","MANAGEMENT","SSCI","3,238","3.8","0.89","5","30.61"%,"100"%,"33",
"Management of Environmental Quality","MANAG ENVIRON QUAL","EMERALD GROUP PUBLISHING LTD","1477-7835","1758-6119","ENVIRONMENTAL STUDIES","ESCI","3,188","4.1","1.01","5","2.3"%,"95.06"%,"81",
"OXFORD REVIEW OF ECONOMIC POLICY","OXFORD REV ECON POL","OXFORD UNIV PRESS","0266-903X","1460-2121","ECONOMICS","SSCI","3,157","1.8","0.73","3.9","35.9"%,"100"%,"48",
"Science and Public Policy","SCI PUBL POLICY","OXFORD UNIV PRESS","0302-3427","1471-5430","ENVIRONMENTAL STUDIES","SSCI","3,140","2.3","0.74","2.9","40.5"%,"96.43"%,"84",
"Science and Public Policy","SCI PUBL POLICY","OXFORD UNIV PRESS","0302-3427","1471-5430","MANAGEMENT","SSCI","3,140","2.3","0.74","2.9","40.5"%,"96.43"%,"84",
"Science and Public Policy","SCI PUBL POLICY","OXFORD UNIV PRESS","0302-3427","1471-5430","PUBLIC ADMINISTRATION","SSCI","3,140","2.3","0.74","2.9","40.5"%,"96.43"%,"84",
"Sociological Methodology","SOCIOL METHODOL","SAGE PUBLICATIONS INC","0081-1750","1467-9531","SOCIOLOGY","SSCI","3,097","2.5","1.41","4.5","40.54"%,"92.86"%,"14",
"Research in Transportation Economics","RES TRANSP ECON","ELSEVIER SCI LTD","0739-8859","1875-7979","ECONOMICS","SSCI","3,088","3.4","1.16","3.6","31.92"%,"100"%,"49",
