Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"JOURNAL OF EUROPEAN PUBLIC POLICY","J EUR PUBLIC POLICY","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1350-1763","1466-4429","PUBLIC ADMINISTRATION","SSCI","7,667","4.5","2.2","5.1","69.17"%,"100"%,"127",
"JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY","J PUBL ADM RES THEOR","OXFORD UNIV PRESS","1053-1858","1477-9803","POLITICAL SCIENCE","SSCI","7,664","6.3","2.35","6.9","30.77"%,"100"%,"25",
"JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY","J PUBL ADM RES THEOR","OXFORD UNIV PRESS","1053-1858","1477-9803","PUBLIC ADMINISTRATION","SSCI","7,664","6.3","2.35","6.9","30.77"%,"100"%,"25",
"JOURNAL OF SERVICE RESEARCH","J SERV RES-US","SAGE PUBLICATIONS INC","1094-6705","1552-7379","BUSINESS","SSCI","7,555","8.6","1.46","11.6","42.74"%,"100"%,"35",
"JOURNAL OF CROSS-CULTURAL PSYCHOLOGY","J CROSS CULT PSYCHOL","SAGE PUBLICATIONS INC","0022-0221","1552-5422","PSYCHOLOGY, SOCIAL","SSCI","7,499","2.8","0.93","3.3","25.87"%,"97.62"%,"42",
"JOURNAL OF SMALL BUSINESS MANAGEMENT","J SMALL BUS MANAGE","TAYLOR & FRANCIS INC","0047-2778","1540-627X","MANAGEMENT","SSCI","7,399","6","1.56","6.9","25"%,"100"%,"80",
"JOURNAL OF ADVERTISING","J ADVERTISING","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0091-3367","1557-7805","BUSINESS","SSCI","7,234","7","1.88","8.5","22.31"%,"87.88"%,"33",
"JOURNAL OF ADVERTISING","J ADVERTISING","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0091-3367","1557-7805","COMMUNICATION","SSCI","7,234","7","1.88","8.5","22.31"%,"87.88"%,"33",
"JOURNAL OF INTERNATIONAL MONEY AND FINANCE","J INT MONEY FINANC","ELSEVIER SCI LTD","0261-5606","1873-0639","BUSINESS, FINANCE","SSCI","6,962","3.3","0.82","3.2","21.97"%,"100"%,"167",
"JOURNAL OF MANAGEMENT IN ENGINEERING","J MANAGE ENG","ASCE-AMER SOC CIVIL ENGINEERS","0742-597X","1943-5479","ENGINEERING, CIVIL","SCIE","6,771","7","1.2","7","2.03"%,"99.01"%,"101",
"JOURNAL OF MANAGEMENT IN ENGINEERING","J MANAGE ENG","ASCE-AMER SOC CIVIL ENGINEERS","0742-597X","1943-5479","ENGINEERING, INDUSTRIAL","SCIE","6,771","7","1.2","7","2.03"%,"99.01"%,"101",
"JOURNAL OF SAFETY RESEARCH","J SAFETY RES","PERGAMON-ELSEVIER SCIENCE LTD","0022-4375","1879-1247","ERGONOMICS","SSCI","6,690","4.4","1.38","4.7","25.19"%,"93.16"%,"190",
"JOURNAL OF SAFETY RESEARCH","J SAFETY RES","PERGAMON-ELSEVIER SCIENCE LTD","0022-4375","1879-1247","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","6,690","4.4","1.38","4.7","25.19"%,"93.16"%,"190",
"JOURNAL OF SAFETY RESEARCH","J SAFETY RES","PERGAMON-ELSEVIER SCIENCE LTD","0022-4375","1879-1247","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","6,690","4.4","1.38","4.7","25.19"%,"93.16"%,"190",
"JOURNAL OF SAFETY RESEARCH","J SAFETY RES","PERGAMON-ELSEVIER SCIENCE LTD","0022-4375","1879-1247","TRANSPORTATION","SSCI","6,690","4.4","1.38","4.7","25.19"%,"93.16"%,"190",
"Journal of the European Economic Association","J EUR ECON ASSOC","OXFORD UNIV PRESS","1542-4766","1542-4774","ECONOMICS","SSCI","6,568","3.3","1.15","4.6","28.64"%,"100"%,"57",
"JOURNAL OF HUMAN RESOURCES","J HUM RESOUR","UNIV WISCONSIN PRESS","0022-166X","1548-8004","ECONOMICS","SSCI","6,561","6","2.4","5.8","26.24"%,"100"%,"70",
"JOURNAL OF HUMAN RESOURCES","J HUM RESOUR","UNIV WISCONSIN PRESS","0022-166X","1548-8004","INDUSTRIAL RELATIONS & LABOR","SSCI","6,561","6","2.4","5.8","26.24"%,"100"%,"70",
"JOURNAL OF CONFLICT RESOLUTION","J CONFLICT RESOLUT","SAGE PUBLICATIONS INC","0022-0027","1552-8766","INTERNATIONAL RELATIONS","SSCI","6,485","2.2","1.13","3.3","26.56"%,"100"%,"51",
"JOURNAL OF CONFLICT RESOLUTION","J CONFLICT RESOLUT","SAGE PUBLICATIONS INC","0022-0027","1552-8766","POLITICAL SCIENCE","SSCI","6,485","2.2","1.13","3.3","26.56"%,"100"%,"51",
"JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS","J COMPUT GRAPH STAT","TAYLOR & FRANCIS INC","1061-8600","1537-2715","STATISTICS & PROBABILITY","SCIE","6,435","1.8","0.87","2.2","23.02"%,"100"%,"139",
"JOURNAL OF BUSINESS AND PSYCHOLOGY","J BUS PSYCHOL","SPRINGER","0889-3268","1573-353X","BUSINESS","SSCI","6,406","4.9","1.18","6.7","29.27"%,"98.55"%,"69",
"JOURNAL OF BUSINESS AND PSYCHOLOGY","J BUS PSYCHOL","SPRINGER","0889-3268","1573-353X","PSYCHOLOGY, APPLIED","SSCI","6,406","4.9","1.18","6.7","29.27"%,"98.55"%,"69",
"Journal of Innovation & Knowledge","J INNOV KNOWL","ELSEVIER ESPANA","2530-7614","2444-569X","BUSINESS","SSCI","6,367","15.5","3.81","15","98.3"%,"96.74"%,"184",
"Journal of Innovation & Knowledge","J INNOV KNOWL","ELSEVIER ESPANA","2530-7614","2444-569X","MANAGEMENT","SSCI","6,367","15.5","3.81","15","98.3"%,"96.74"%,"184",
"JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY","J OCCUP ORGAN PSYCH","WILEY","0963-1798","2044-8325","MANAGEMENT","SSCI","6,273","3.5","1.19","6","52.12"%,"100"%,"70",
"JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY","J OCCUP ORGAN PSYCH","WILEY","0963-1798","2044-8325","PSYCHOLOGY, APPLIED","SSCI","6,273","3.5","1.19","6","52.12"%,"100"%,"70",
"JOURNAL OF ADVANCED TRANSPORTATION","J ADV TRANSPORT","WILEY","0197-6729","2042-3195","ENGINEERING, CIVIL","SCIE","6,129","1.8","0.38","2.3","100"%,"96.75"%,"154",
"JOURNAL OF ADVANCED TRANSPORTATION","J ADV TRANSPORT","WILEY","0197-6729","2042-3195","TRANSPORTATION SCIENCE & TECHNOLOGY","SCIE","6,129","1.8","0.38","2.3","100"%,"96.75"%,"154",
"JOURNAL OF LABOR ECONOMICS","J LABOR ECON","UNIV CHICAGO PRESS","0734-306X","1537-5307","ECONOMICS","SSCI","6,076","5","1.5","5","2.46"%,"100"%,"45",
"JOURNAL OF LABOR ECONOMICS","J LABOR ECON","UNIV CHICAGO PRESS","0734-306X","1537-5307","INDUSTRIAL RELATIONS & LABOR","SSCI","6,076","5","1.5","5","2.46"%,"100"%,"45",
"Journal of Environmental Planning and Management","J ENVIRON PLANN MAN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0964-0568","1360-0559","DEVELOPMENT STUDIES","SSCI","5,977","3.6","0.95","4.1","23.19"%,"92.75"%,"138",
"Journal of Environmental Planning and Management","J ENVIRON PLANN MAN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0964-0568","1360-0559","REGIONAL & URBAN PLANNING","SSCI","5,977","3.6","0.95","4.1","23.19"%,"92.75"%,"138",
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","5,971","5.5","1.63","7.5","0"%,"95.08"%,"61",
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,971","5.5","1.63","7.5","0"%,"95.08"%,"61",
"JOURNAL OF ECONOMIC SURVEYS","J ECON SURV","WILEY","0950-0804","1467-6419","ECONOMICS","SSCI","5,920","5","1.66","7.1","50"%,"94.94"%,"79",
"JOURNAL OF MONEY CREDIT AND BANKING","J MONEY CREDIT BANK","WILEY","0022-2879","1538-4616","BUSINESS, FINANCE","SSCI","5,856","1.6","0.41","2.1","29.5"%,"100"%,"95",
"JOURNAL OF MONEY CREDIT AND BANKING","J MONEY CREDIT BANK","WILEY","0022-2879","1538-4616","ECONOMICS","SSCI","5,856","1.6","0.41","2.1","29.5"%,"100"%,"95",
"JOURNAL OF DEVELOPMENT STUDIES","J DEV STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0022-0388","1743-9140","DEVELOPMENT STUDIES","SSCI","5,852","1.8","0.55","2.8","37.99"%,"99.04"%,"104",
"JOURNAL OF DEVELOPMENT STUDIES","J DEV STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0022-0388","1743-9140","ECONOMICS","SSCI","5,852","1.8","0.55","2.8","37.99"%,"99.04"%,"104",
"JOURNAL OF MULTIVARIATE ANALYSIS","J MULTIVARIATE ANAL","ELSEVIER INC","0047-259X","N/A","STATISTICS & PROBABILITY","SCIE","5,814","1.7","0.79","1.7","15.99"%,"100"%,"93",
"Journal of International Financial Markets Institutions & Money","J INT FINANC MARK I","ELSEVIER","1042-4431","1873-0612","BUSINESS, FINANCE","SSCI","5,789","6.1","1.7","5.6","28.81"%,"99.25"%,"134",
"Journal of International Financial Markets Institutions & Money","J INT FINANC MARK I","ELSEVIER","1042-4431","1873-0612","ECONOMICS","SSCI","5,789","6.1","1.7","5.6","28.81"%,"99.25"%,"134",
"JOURNAL OF BUSINESS & INDUSTRIAL MARKETING","J BUS IND MARK","EMERALD GROUP PUBLISHING LTD","0885-8624","2052-1189","BUSINESS","SSCI","5,756","4.3","0.72","3.9","12.08"%,"97.01"%,"134",
"JOURNAL OF ECONOMIC PSYCHOLOGY","J ECON PSYCHOL","ELSEVIER","0167-4870","1872-7719","ECONOMICS","SSCI","5,733","2.3","0.87","3","41.28"%,"100"%,"49",
"JOURNAL OF ECONOMIC PSYCHOLOGY","J ECON PSYCHOL","ELSEVIER","0167-4870","1872-7719","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","5,733","2.3","0.87","3","41.28"%,"100"%,"49",
"JOURNAL OF ECONOMIC DYNAMICS & CONTROL","J ECON DYN CONTROL","ELSEVIER","0165-1889","1879-1743","ECONOMICS","SSCI","5,658","2.3","0.66","2.1","26.54"%,"100"%,"113",
"JOURNAL OF INTERACTIVE MARKETING","J INTERACT MARK","SAGE PUBLICATIONS INC","1094-9968","1520-6653","BUSINESS","SSCI","5,650","7.8","1.65","11.4","11.01"%,"96.15"%,"26",
"JOURNAL OF TECHNOLOGY TRANSFER","J TECHNOL TRANSFER","SPRINGER","0892-9912","1573-7047","MANAGEMENT","SSCI","5,624","4.3","0.91","5.6","46.95"%,"100"%,"110",
"JOURNAL OF AIR TRANSPORT MANAGEMENT","J AIR TRANSP MANAG","ELSEVIER SCI LTD","0969-6997","1873-2089","TRANSPORTATION","SSCI","5,623","3.6","0.97","4.5","23.43"%,"99.25"%,"134",
"Journal of Services Marketing","J SERV MARK","EMERALD GROUP PUBLISHING LTD","0887-6045","0887-6045","BUSINESS","SSCI","5,594","4.5","0.77","5.3","7.22"%,"98.25"%,"57",
"Journal of Destination Marketing & Management","J DESTIN MARK MANAGE","ELSEVIER","2212-571X","2212-5752","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","5,512","7.4","2.13","9.2","29.57"%,"100"%,"92",
"Journal of Destination Marketing & Management","J DESTIN MARK MANAGE","ELSEVIER","2212-571X","2212-5752","MANAGEMENT","SSCI","5,512","7.4","2.13","9.2","29.57"%,"100"%,"92",
"Journal of Product and Brand Management","J PROD BRAND MANAG","EMERALD GROUP PUBLISHING LTD","1061-0421","2054-1643","BUSINESS","SSCI","5,489","5.7","1.18","7.1","6.6"%,"96.34"%,"82",
"Journal of Product and Brand Management","J PROD BRAND MANAG","EMERALD GROUP PUBLISHING LTD","1061-0421","2054-1643","MANAGEMENT","SSCI","5,489","5.7","1.18","7.1","6.6"%,"96.34"%,"82",
"Journal of Marketing Management","J MARKET MANAG-UK","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0267-257X","1472-1376","BUSINESS","SSCI","5,487","3","0.69","5.2","29.89"%,"100"%,"45",
"Journal of Marketing Management","J MARKET MANAG-UK","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0267-257X","1472-1376","MANAGEMENT","SSCI","5,487","3","0.69","5.2","29.89"%,"100"%,"45",
"Journal of Manufacturing Technology Management","J MANUF TECHNOL MANA","EMERALD GROUP PUBLISHING LTD","1741-038X","1758-7786","ENGINEERING, INDUSTRIAL","SCIE","5,085","6","1.29","8.6","11.76"%,"94.57"%,"92",
"Journal of Manufacturing Technology Management","J MANUF TECHNOL MANA","EMERALD GROUP PUBLISHING LTD","1741-038X","1758-7786","ENGINEERING, MANUFACTURING","SCIE","5,085","6","1.29","8.6","11.76"%,"94.57"%,"92",
"Journal of Manufacturing Technology Management","J MANUF TECHNOL MANA","EMERALD GROUP PUBLISHING LTD","1741-038X","1758-7786","MANAGEMENT","SSCI","5,085","6","1.29","8.6","11.76"%,"94.57"%,"92",
"Journal of Consumer Behaviour","J CONSUM BEHAV","WILEY","1472-0817","1479-1838","BUSINESS","SSCI","5,073","5.2","0.96","5.3","27.79"%,"92.09"%,"139",
"Journal of Managerial Psychology","J MANAGE PSYCHOL","EMERALD GROUP PUBLISHING LTD","0268-3946","1758-7778","MANAGEMENT","SSCI","4,862","2.7","0.79","4.7","5.81"%,"97.37"%,"76",
"Journal of Managerial Psychology","J MANAGE PSYCHOL","EMERALD GROUP PUBLISHING LTD","0268-3946","1758-7778","PSYCHOLOGY, APPLIED","SSCI","4,862","2.7","0.79","4.7","5.81"%,"97.37"%,"76",
"JCMS-Journal of Common Market Studies","JCMS-J COMMON MARK S","WILEY","0021-9886","1468-5965","ECONOMICS","SSCI","4,815","3.3","1.42","3.1","72.59"%,"89.26"%,"121",
"JCMS-Journal of Common Market Studies","JCMS-J COMMON MARK S","WILEY","0021-9886","1468-5965","INTERNATIONAL RELATIONS","SSCI","4,815","3.3","1.42","3.1","72.59"%,"89.26"%,"121",
"JCMS-Journal of Common Market Studies","JCMS-J COMMON MARK S","WILEY","0021-9886","1468-5965","POLITICAL SCIENCE","SSCI","4,815","3.3","1.42","3.1","72.59"%,"89.26"%,"121",
"JOURNAL OF ECONOMIC GEOGRAPHY","J ECON GEOGR","OXFORD UNIV PRESS","1468-2702","1468-2710","ECONOMICS","SSCI","4,794","2.9","1.05","4.5","45.97"%,"100"%,"49",
"JOURNAL OF ECONOMIC GEOGRAPHY","J ECON GEOGR","OXFORD UNIV PRESS","1468-2702","1468-2710","GEOGRAPHY","SSCI","4,794","2.9","1.05","4.5","45.97"%,"100"%,"49",
"Journal of Intellectual Capital","J INTELLECT CAP","EMERALD GROUP PUBLISHING LTD","1469-1930","1758-7468","BUSINESS","SSCI","4,697","6.8","1.27","8","10.57"%,"98.39"%,"62",
"Journal of Intellectual Capital","J INTELLECT CAP","EMERALD GROUP PUBLISHING LTD","1469-1930","1758-7468","MANAGEMENT","SSCI","4,697","6.8","1.27","8","10.57"%,"98.39"%,"62",
"JOURNAL OF COMPARATIVE ECONOMICS","J COMP ECON","ACADEMIC PRESS INC ELSEVIER SCIENCE","0147-5967","1095-7227","ECONOMICS","SSCI","4,649","3.1","1.01","3.8","20.83"%,"100"%,"48",
"Journal of Hospitality Marketing & Management","J HOSP MARKET MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1936-8623","1936-8631","BUSINESS","SSCI","4,617","11","2.63","12","9.63"%,"100"%,"34",
"Journal of Hospitality Marketing & Management","J HOSP MARKET MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1936-8623","1936-8631","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","4,617","11","2.63","12","9.63"%,"100"%,"34",
"Journal of Hospitality Marketing & Management","J HOSP MARKET MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1936-8623","1936-8631","MANAGEMENT","SSCI","4,617","11","2.63","12","9.63"%,"100"%,"34",
"JOURNAL OF CONSUMER MARKETING","J CONSUM MARK","EMERALD GROUP PUBLISHING LTD","0736-3761","2052-1200","BUSINESS","ESCI","4,550","3.3","0.59","3.8","3.3"%,"96.55"%,"58",
"Journal of Statistical Planning and Inference","J STAT PLAN INFER","ELSEVIER","0378-3758","1873-1171","STATISTICS & PROBABILITY","SCIE","4,519","0.8","0.44","0.9","11.16"%,"100"%,"80",
"JOURNAL OF COMPUTER AND SYSTEM SCIENCES","J COMPUT SYST SCI","ACADEMIC PRESS INC ELSEVIER SCIENCE","0022-0000","1090-2724","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","SCIE","4,518","0.9","0.27","1.1","30.77"%,"100"%,"45",
"JOURNAL OF COMPUTER AND SYSTEM SCIENCES","J COMPUT SYST SCI","ACADEMIC PRESS INC ELSEVIER SCIENCE","0022-0000","1090-2724","COMPUTER SCIENCE, THEORY & METHODS","SCIE","4,518","0.9","0.27","1.1","30.77"%,"100"%,"45",
"JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES","J PERFORM CONSTR FAC","ASCE-AMER SOC CIVIL ENGINEERS","0887-3828","1943-5509","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","4,494","2.1","0.46","2.5","1.25"%,"100"%,"62",
"JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES","J PERFORM CONSTR FAC","ASCE-AMER SOC CIVIL ENGINEERS","0887-3828","1943-5509","ENGINEERING, CIVIL","SCIE","4,494","2.1","0.46","2.5","1.25"%,"100"%,"62",
"Journal of Financial Stability","J FINANC STABIL","ELSEVIER SCIENCE INC","1572-3089","1878-0962","BUSINESS, FINANCE","SSCI","4,488","4.2","1.59","6","19.05"%,"100"%,"119",
"Journal of Financial Stability","J FINANC STABIL","ELSEVIER SCIENCE INC","1572-3089","1878-0962","ECONOMICS","SSCI","4,488","4.2","1.59","6","19.05"%,"100"%,"119",
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER","0963-8687","1873-1198","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","4,480","11.8","2.06","21.5","59.68"%,"92.59"%,"27",
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,480","11.8","2.06","21.5","59.68"%,"92.59"%,"27",
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER","0963-8687","1873-1198","MANAGEMENT","SSCI","4,480","11.8","2.06","21.5","59.68"%,"92.59"%,"27",
"Journal of Hospitality & Tourism Research","J HOSP TOUR RES","SAGE PUBLICATIONS INC","1096-3480","1557-7554","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","4,442","5.3","1.28","5.5","6.47"%,"98.55"%,"69",
"Journal of Service Management","J SERV MANAGE","EMERALD GROUP PUBLISHING LTD","1757-5818","1757-5826","MANAGEMENT","SSCI","4,433","7.9","1.81","10.1","24.19"%,"94.59"%,"37",
"Journal of Enterprise Information Management","J ENTERP INF MANAG","EMERALD GROUP PUBLISHING LTD","1741-0398","1758-7409","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,418","6.4","1.68","7.6","3.47"%,"97.92"%,"48",
"Journal of Enterprise Information Management","J ENTERP INF MANAG","EMERALD GROUP PUBLISHING LTD","1741-0398","1758-7409","MANAGEMENT","SSCI","4,418","6.4","1.68","7.6","3.47"%,"97.92"%,"48",
"Journal of Industrial Information Integration","J IND INF INTEGR","ELSEVIER","2467-964X","2452-414X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,405","11.6","2.06","12.2","26.92"%,"87.73"%,"163",
"Journal of Industrial Information Integration","J IND INF INTEGR","ELSEVIER","2467-964X","2452-414X","ENGINEERING, INDUSTRIAL","SCIE","4,405","11.6","2.06","12.2","26.92"%,"87.73"%,"163",
"Journal of Marketing Theory and Practice","J MARKET THEORY PRAC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1069-6679","1944-7175","BUSINESS","ESCI","4,344","5.3","0.86","4.6","4.55"%,"100"%,"48",
"JOURNAL OF APPLIED STATISTICS","J APPL STAT","TAYLOR & FRANCIS LTD","0266-4763","1360-0532","STATISTICS & PROBABILITY","SCIE","4,223","1.1","0.59","1.5","9.32"%,"100"%,"129",
"JOURNAL OF SOCIAL PSYCHOLOGY","J SOC PSYCHOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0022-4545","1940-1183","PSYCHOLOGY, SOCIAL","SSCI","4,218","1.7","0.6","2.5","10.43"%,"100"%,"43",
"Journal of Islamic Marketing","J ISLAMIC MARK","EMERALD GROUP PUBLISHING LTD","1759-0833","1759-0841","BUSINESS","ESCI","4,143","4.7","0.77","5.1","1.59"%,"96.28"%,"215",
"JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION","J STAT COMPUT SIM","TAYLOR & FRANCIS LTD","0094-9655","1563-5163","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,082","1.2","0.41","1.3","6.81"%,"100"%,"153",
"JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION","J STAT COMPUT SIM","TAYLOR & FRANCIS LTD","0094-9655","1563-5163","STATISTICS & PROBABILITY","SCIE","4,082","1.2","0.41","1.3","6.81"%,"100"%,"153",
"JOURNAL OF ACCOUNTING AND PUBLIC POLICY","J ACCOUNT PUBLIC POL","ELSEVIER SCIENCE INC","0278-4254","1873-2070","BUSINESS, FINANCE","SSCI","3,943","2.2","0.89","3.6","13.79"%,"100"%,"50",
"JOURNAL OF ACCOUNTING AND PUBLIC POLICY","J ACCOUNT PUBLIC POL","ELSEVIER SCIENCE INC","0278-4254","1873-2070","PUBLIC ADMINISTRATION","SSCI","3,943","2.2","0.89","3.6","13.79"%,"100"%,"50",
"Journal of Empirical Finance","J EMPIR FINANC","ELSEVIER","0927-5398","1879-1727","BUSINESS, FINANCE","SSCI","3,931","2.4","0.76","3.3","21.2"%,"100"%,"79",
"Journal of Empirical Finance","J EMPIR FINANC","ELSEVIER","0927-5398","1879-1727","ECONOMICS","SSCI","3,931","2.4","0.76","3.3","21.2"%,"100"%,"79",
"Journal of Business Finance & Accounting","J BUS FINAN ACCOUNT","WILEY","0306-686X","1468-5957","BUSINESS, FINANCE","SSCI","3,739","2.4","0.64","3.6","32.38"%,"100"%,"61",
"Journal of Supply Chain Management","J SUPPLY CHAIN MANAG","WILEY","1523-2409","1745-493X","MANAGEMENT","SSCI","3,677","9.9","2.41","11.7","71.43"%,"100"%,"17",
"Journal of Business Logistics","J BUS LOGIST","WILEY","0735-3766","2158-1592","MANAGEMENT","SSCI","3,632","7.4","1.99","10.6","44"%,"100"%,"17",
"Journal of Research in Interactive Marketing","J RES INTERACT MARK","EMERALD GROUP PUBLISHING LTD","2040-7122","2040-7130","BUSINESS","SSCI","3,631","11.6","2.07","12.1","3.27"%,"98.51"%,"67",
"JOURNAL OF MEDICAL ECONOMICS","J MED ECON","TAYLOR & FRANCIS LTD","1369-6998","1941-837X","HEALTH CARE SCIENCES & SERVICES","SCIE","3,584","3","0.98","2.8","97.24"%,"95.15"%,"165",
"JOURNAL OF MEDICAL ECONOMICS","J MED ECON","TAYLOR & FRANCIS LTD","1369-6998","1941-837X","MEDICINE, GENERAL & INTERNAL","SCIE","3,584","3","0.98","2.8","97.24"%,"95.15"%,"165",
"JOURNAL OF RISK RESEARCH","J RISK RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1366-9877","1466-4461","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","3,405","1.7","1.16","2.9","42.86"%,"95.51"%,"89",
"JOURNAL OF APPLIED PROBABILITY","J APPL PROBAB","CAMBRIDGE UNIV PRESS","0021-9002","1475-6072","STATISTICS & PROBABILITY","SCIE","3,386","0.7","0.39","0.8","3"%,"100"%,"70",
"JOURNAL OF BEHAVIORAL DECISION MAKING","J BEHAV DECIS MAKING","WILEY","0894-3257","1099-0771","PSYCHOLOGY, APPLIED","SSCI","3,373","1.4","0.55","2.7","50"%,"100"%,"49",
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LTD","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,341","2","0.5","2.4","19.2"%,"95.12"%,"82",
"JOURNAL OF POPULATION ECONOMICS","J POPUL ECON","SPRINGER","0933-1433","1432-1475","DEMOGRAPHY","SSCI","3,324","3","1.44","4.3","47.95"%,"100"%,"78",
"JOURNAL OF POPULATION ECONOMICS","J POPUL ECON","SPRINGER","0933-1433","1432-1475","ECONOMICS","SSCI","3,324","3","1.44","4.3","47.95"%,"100"%,"78",
"Journal of Behavioral and Experimental Finance","J BEHAV EXP FINANC","ELSEVIER","2214-6350","2214-6369","BUSINESS, FINANCE","SSCI","3,296","4.7","1.21","5","34.06"%,"100"%,"99",
"Journal of Behavioral and Experimental Finance","J BEHAV EXP FINANC","ELSEVIER","2214-6350","2214-6369","ECONOMICS","SSCI","3,296","4.7","1.21","5","34.06"%,"100"%,"99",
"Journal of Brand Management","J BRAND MANAG","PALGRAVE MACMILLAN LTD","1350-231X","1479-1803","BUSINESS","SSCI","3,239","4.1","0.88","5.1","21.78"%,"100"%,"25",
"Journal of Brand Management","J BRAND MANAG","PALGRAVE MACMILLAN LTD","1350-231X","1479-1803","MANAGEMENT","SSCI","3,239","4.1","0.88","5.1","21.78"%,"100"%,"25",
"Journal of International Management","J INT MANAG","ELSEVIER","1075-4253","1873-0620","MANAGEMENT","SSCI","3,221","4.9","1.32","5.9","43.52"%,"97.18"%,"71",
"JOURNAL OF REGIONAL SCIENCE","J REGIONAL SCI","WILEY","0022-4146","1467-9787","ECONOMICS","SSCI","3,212","2.7","0.7","3.1","38.56"%,"100"%,"66",
"JOURNAL OF REGIONAL SCIENCE","J REGIONAL SCI","WILEY","0022-4146","1467-9787","ENVIRONMENTAL STUDIES","SSCI","3,212","2.7","0.7","3.1","38.56"%,"100"%,"66",
"JOURNAL OF REGIONAL SCIENCE","J REGIONAL SCI","WILEY","0022-4146","1467-9787","REGIONAL & URBAN PLANNING","SSCI","3,212","2.7","0.7","3.1","38.56"%,"100"%,"66",
"JOURNAL OF FINANCIAL INTERMEDIATION","J FINANC INTERMED","ACADEMIC PRESS INC ELSEVIER SCIENCE","1042-9573","1096-0473","BUSINESS, FINANCE","SSCI","3,196","3.7","0.94","4.6","19"%,"92.86"%,"28",
"JOURNAL OF ECONOMIC GROWTH","J ECON GROWTH","SPRINGER","1381-4338","1573-7020","ECONOMICS","SSCI","3,192","2.9","0.77","3.8","61.7"%,"100"%,"10",
"JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT","J ORGAN CHANGE MANAG","EMERALD GROUP PUBLISHING LTD","0953-4814","1758-7816","MANAGEMENT","SSCI","3,137","2.7","0.71","3.4","10.41"%,"98.89"%,"90",
