Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
The market response to beating after-tax earnings targets revisited using analysts' pre-tax earnings forecasts and concurrent tax note disclosures,2016,Journals,Journal of Business Finance and Accounting,http://espace.library.uq.edu.au/view/UQ:378915,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Corporate social responsibility: the link between sustainability disclosure and sustainability performance,2014,Journals,Abacus,http://espace.library.uq.edu.au/view/UQ:349958,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Women and the prospects for partnership in professional accountancy firms,2014,Journals,Accounting and Finance,http://espace.library.uq.edu.au/view/UQ:327127,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Using a balanced scorecard to improve the management of natural resources: experiences from Baden-Wuerttemberg,2013,Journals,Society and Natural Resources,http://espace.library.uq.edu.au/view/UQ:294500,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Climate change policy in Australia: Organisational responses and influences,2012,Journals,Australian Accounting Review,http://espace.library.uq.edu.au/view/UQ:271170,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Women in accountancy: prospects for partnership,2010,Journals,CA Magazine,http://espace.library.uq.edu.au/view/UQ:222611,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Changes in unrecognised deferred tax accruals from carry-forward losses: earnings management or signalling?,2010,Journals,Journal of Business Finance and Accounting,http://espace.library.uq.edu.au/view/UQ:218726,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Market's perception of deferred tax accruals,2009,Journals,Accounting and Finance,http://espace.library.uq.edu.au/view/UQ:185288,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Multidimensional performance measurement systems – A promising approach for the management of enterprises and administrations in the forest sector? – Results of a case study in comparison with findings in US-American administrations,2009,Journals,Allgemeine Forst- und Jagdzeitung (Journal for Forestry and Forest Science ),http://espace.library.uq.edu.au/view/UQ:197574,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
A preliminary investigation of the reporting of forest assets under international financial reporting standards. Eine erste studie zur rechnungslegung forstwirtschaftlicher vermogenswerte nach internationalen rechnungslegungstandards,2009,Journals,Centralblatt fuer das Gesamte Forstwesen,http://espace.library.uq.edu.au/view/UQ:183602,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
"IFRS: Irritating, frustrating and really silly?",2008,Journals,Intheblack,http://espace.library.uq.edu.au/view/UQ:163821,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Auditor reporting and earnings management: Some additional evidence,2008,Journals,Accounting and Finance,http://espace.library.uq.edu.au/view/UQ:159064,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
The horse has bolted: Revisiting the market reaction to going concern modifications of audit reports,2007,Journals,Accounting and Finance,http://espace.library.uq.edu.au/view/UQ:130937,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Accounting for SGARAs: A stocktake of accounting practice before compliance with AASB141 'Agriculture',2006,Journals,Australian Accounting Review,http://espace.library.uq.edu.au/view/UQ:75002,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
International Accounting Standard (IAS) 41: What are the implications for reporting forest assets?,2006,Journals,"Small-Scale Forest Economics, Management and Policy",http://espace.library.uq.edu.au/view/UQ:195955,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
A full cost environmental accounting experiment,2005,Journals,Accounting Organizations And Society,http://espace.library.uq.edu.au/view/UQ:74695,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Job satisfaction dimensions in public accounting practice,2005,Journals,Accounting Research Journal,http://espace.library.uq.edu.au/view/UQ:75001,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Informal mentoring relationships and the career processes of public accountants,2004,Journals,The British Accounting Review,http://espace.library.uq.edu.au/view/UQ:69621,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Forestry managers' perceptions of the feasibility of incorporating non-market value estimates into financial environmental reporting,2002,Journals,Economic Analysis and Policy,http://espace.library.uq.edu.au/view/UQ:704122,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Forestry managers' perceptions of the feasibility of incorporating non-market value estimates into financial environmental reporting,2002,Journals,Economic Analysis and Policy,http://espace.library.uq.edu.au/view/UQ:61253,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
An alternative approach to accounting for natural resources: The case of multipurpose forestry in Australia,2000,Journals,Society & Natural Resources,http://espace.library.uq.edu.au/view/UQ:141557,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Lessons from small-scale forestry initiatives in Australia: The effective integration of environmental and commercial values,2000,Journals,Forest Ecology and Management,http://espace.library.uq.edu.au/view/UQ:142252,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Accounting for forestry assets: The development of an Australian policy,1998,Journals,Australian Forestry,http://espace.library.uq.edu.au/view/UQ:2a5bc7d,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Accounting for forestry assets: Current practice and future directions,1998,Journals,Australian Accounting Review,http://espace.library.uq.edu.au/view/UQ:ed62a59,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
"Business strategy, carbon mitigation activities and investors' assessed emissions valuation penalty",2022,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:58481ec,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Evaluating the role of business and environmental non-profit organisations in climate policy formation,2022,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:7f6316b,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Asset impairment announcements: the dual effects of relevance and credibility,2021,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:6adb5cc,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
"Business strategy, carbon mitigation activities and investors' assessed emissions valuation penalty",2021,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:cde4871,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
"The relation between board ethnic diversity, CEO power and corporate social responsibility: Evidence from Australia",2019,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:cb033b5,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
The credibility of the big four Australian banks' management of climate change risk exposure,2019,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:1475626,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
The value relevance of a firm's carbon profile,2019,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:bd4209b,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
The implicity assurance of carbon risk by banks,2017,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:c8aba75,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Carbon risk: A contemporary business challenge and the role of bank monitoring,2016,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:31e33a6,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Work-lifestyle choices in professional accountancy firms: The road to partnership,2013,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:5477674,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
"Implementing the fair value accounting in the agricultural sector: IAS41 and the comparability of corporate farm accounting practice in Australia, France and the UK",2010,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:228014,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Missing pre-tax earnings benchmarks: Does the market care?,2010,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:227839,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Changes in unrecognised deferred tax accruals from carry-forward losses: Opportunism or signalling?,2008,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:176289,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Non-Financial performance measures in the Black Forest,2007,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:202971,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
The market's perception of the reliability of deferred tax accruals,2006,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:104972,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
International accounting standards: How adequately are forest assets reported in the balance sheet and income statement?,2005,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:101752,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Stock market reaction to modified audit reports,2005,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:101753,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Encouraging Greater Participation in Farm Forestry and the Role of Socio-Economic Research,2001,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:96573,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Accounting for and reporting of carbon: Opportunities lost or a brave new future?,2010,Department Technical Report,,http://espace.library.uq.edu.au/view/UQ:257481,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
"Implementing Fair Value Accounting in the Agricultural Sector: The UK, Australia and France",2009,Generic Document,,http://espace.library.uq.edu.au/view/UQ:202640,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
Sustainability reporting in local government: systemic change or greenwash?,2008,Research Report,,http://espace.library.uq.edu.au/view/UQ:163820,Kathleen Herbohn,https://business.uq.edu.au/profile/170/kathleen-herbohn,Professor,Accounting,E
"Social media attention, stock returns and retail trades",2024,Working Paper,,http://espace.library.uq.edu.au/view/UQ:5dadafe,Weiting Hu,https://business.uq.edu.au/profile/17174/weiting-hu,Lecturer,Finance,B
Systemically important bank motivation for bond market choices and the impact on financial stability,2024,Conference Paper,,http://espace.library.uq.edu.au/view/UQ:754a80b,Chris Bell,https://business.uq.edu.au/profile/17730/chris-bell,Lecturer,Finance,B
Systemically important bank bond funding: implications for financial stability,2024,Thesis,,http://espace.library.uq.edu.au/view/UQ:153d099,Chris Bell,https://business.uq.edu.au/profile/17730/chris-bell,Lecturer,Finance,B
What role do green bonds play in supporting a sustainable future?,"2024,",Newspaper Articles,,http://espace.library.uq.edu.au/view/UQ:b092a07,Chris Bell,https://business.uq.edu.au/profile/17730/chris-bell,Lecturer,Finance,B
Australian Banks can withstand a “real Armageddon”,"2023,",Newspaper Articles,,http://espace.library.uq.edu.au/view/UQ:a33fc25,Chris Bell,https://business.uq.edu.au/profile/17730/chris-bell,Lecturer,Finance,B
How does climate risk affect corporate innovation? Evidence from China,2023,Journal Article,Accounting & Finance,http://espace.library.uq.edu.au/view/UQ:d57ebae,Mia Han,https://business.uq.edu.au/profile/18291/mia-han,Lecturer,Accounting,B
Social capital and leasing,2025,Journals,Global Finance Journal,http://espace.library.uq.edu.au/view/UQ:93297bb,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Does the linguistic complexity of annual reports affect the corporate leasing decision?,2025,Journals,The Journal of Financial Research,http://espace.library.uq.edu.au/view/UQ:8fc07ed,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Do CEOs' industry tournament incentives affect stock liquidity?,2025,Journals,Corporate Governance: An International Review,http://espace.library.uq.edu.au/view/UQ:7f62600,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Institutional shareholder distraction and workplace safety,2025,Journals,The British Accounting Review,http://espace.library.uq.edu.au/view/UQ:7ce7474,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Labour investment efficiency and social capital,2025,Journals,Accounting & Finance,http://espace.library.uq.edu.au/view/UQ:6d4c97c,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Organization capital and labor investment efficiency,2025,Journals,Journal of Financial Stability,http://espace.library.uq.edu.au/view/UQ:f860431,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Corporate sexual orientation equality and dividend payout,2025,Journals,The European Journal of Finance,http://espace.library.uq.edu.au/view/UQ:e8d829e,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Does exchange-traded fund ownership affect a firm’s expected crash risk?,2025,Journals,European Accounting Review,http://espace.library.uq.edu.au/view/UQ:4410e39,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Acquisitions and social capital,2024,Journals,Journal of Business Finance and Accounting,http://espace.library.uq.edu.au/view/UQ:009856d,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
U.S. Political corruption and labor investment (in)efficiency,2024,Journals,Global Finance Journal,http://espace.library.uq.edu.au/view/UQ:4efc793,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Tournament-based incentives and media sentiment,2023,Journals,Journal of Contemporary Accounting and Economics,http://espace.library.uq.edu.au/view/UQ:8104ac3,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Do tournament incentives affect corporate dividend policy?,2023,Journals,Journal of Banking and Finance,http://espace.library.uq.edu.au/view/UQ:ed665cb,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Corporate cash holdings through economic policy uncertainty: An Australian study,2023,Journals,Pacific-Basin Finance Journal,http://espace.library.uq.edu.au/view/UQ:6287fa7,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Tournament-based incentives and the lease-versus-buy decision,2023,Journals,Journal of Banking and Finance,http://espace.library.uq.edu.au/view/UQ:65a2304,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Equity market response to natural disasters: Does firm's corporate social responsibility make difference?,2023,Journals,Global Finance Journal,http://espace.library.uq.edu.au/view/UQ:eadc80d,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Does corporate sexual orientation equality affect labor investment efficiency?,2022,Journals,Global Finance Journal,http://espace.library.uq.edu.au/view/UQ:ea2ec2a,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Do external labor market incentives improve labor investment efficiency?,2022,Journals,Journal of Behavioral and Experimental Finance,http://espace.library.uq.edu.au/view/UQ:1fabc95,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Does a competitive external labour market affect corporate social responsibility? Evidence from industry tournament incentives,2022,Journals,Journal of Behavioral and Experimental Finance,http://espace.library.uq.edu.au/view/UQ:3ff33f3,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
CEO centrality and stock price crash risk,2021,Journals,Journal of Behavioral and Experimental Finance,http://espace.library.uq.edu.au/view/UQ:8c0a52e,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Using abnormal analyst coverage to unlock new evidence on stock price crash risk,2021,Journals,Accounting and Finance,http://espace.library.uq.edu.au/view/UQ:d29ce99,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Does firm life cycle have impacts on managerial promotion tournament incentives?,2020,Journals,Australian Journal of Management,http://espace.library.uq.edu.au/view/UQ:5a4ec2c,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Do external labour market incentives constrain bad news hoarding? The CEO's industry tournament and crash risk reduction,2020,Journals,Journal of Corporate Finance,http://espace.library.uq.edu.au/view/UQ:951d2ae,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Leverage deviation from the target debt ratio and leasing,2020,Journals,Accounting and Finance,http://espace.library.uq.edu.au/view/UQ:53f7f51,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Evidence on the trade-off between corporate social responsibility and mergers and acquisitions investment,2020,Journals,Australian Journal of Management,http://espace.library.uq.edu.au/view/UQ:3e720de,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
"Corporate social responsibility, overconfident CEOs and empire building: agency and stakeholder theoretic perspectives",2020,Journals,Journal of Business Research,http://espace.library.uq.edu.au/view/UQ:a5a0fa7,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Essays on executive pay disparity,2019,Thesis,,http://espace.library.uq.edu.au/view/UQ:3e5822e,Hasibul Chowdhury,https://business.uq.edu.au/profile/1865/hasibul-chowdhury,,Finance,
Company reputation and dividend payout,2024,Journals,Meditari Accountancy Research,http://espace.library.uq.edu.au/view/UQ:f004335,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
Torn between Two Debt Types? The Role of Managerial Ability in a Firm's Choice Between Bank Loans and Public Debt,2024,Journals,Journal of Banking & Finance,http://espace.library.uq.edu.au/view/UQ:263ed2e,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
Does managerial pay disparity influence BHC default risk?,2024,Journals,International Review of Economics & Finance,http://espace.library.uq.edu.au/view/UQ:3388a46,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
Firm-level political risk and equity issuance,2024,Journals,"Journal of International Financial Markets, Institutions & Money",http://espace.library.uq.edu.au/view/UQ:7549740,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
Does product market competition influence annual report readability?,2024,Journals,Accounting and Business Research,http://espace.library.uq.edu.au/view/UQ:4627df4,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
Does board independence influence annual report readability?,2023,Journals,European Accounting Review,http://espace.library.uq.edu.au/view/UQ:54d769d,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
The readability of 10-K reports and insider trading profitability,2022,Journals,Australian Journal of Management,http://espace.library.uq.edu.au/view/UQ:227615d,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
Do co-opted boards increase insider profitability?,2021,Journals,Journal of Contemporary Accounting and Economics,http://espace.library.uq.edu.au/view/UQ:e61ee5d,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
Crash risk and debt maturity: evidence from Australia,2021,Journals,International Journal of Managerial Finance,http://espace.library.uq.edu.au/view/UQ:b7b38cd,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
Does exposure to product market competition influence insider trading profitability?,2021,Journals,Journal of Corporate Finance,http://espace.library.uq.edu.au/view/UQ:0e8a21c,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
Does board independence constrain insider opportunism?,2020,Journals,Australian Journal of Management,http://espace.library.uq.edu.au/view/UQ:f3f6f01,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
Evidence of strategic information uncertainty around opportunistic insider purchases,2020,Journals,Journal of Banking & Finance,http://espace.library.uq.edu.au/view/UQ:4935739,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
CEO buying: strategic news tone dispersion around purchasing months,2017,Conference Paper,,http://espace.library.uq.edu.au/view/UQ:54e5a2f,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
Essays on insider trading and governance,2019,Thesis,,http://espace.library.uq.edu.au/view/UQ:e8918f7,Dewan Rahman,https://business.uq.edu.au/profile/1868/dewan-rahman,Senior Lecturer,Finance,C
How remuneration committees incentivise executive compensation in Australia,2025,Journals,Australian Journal of Management,http://espace.library.uq.edu.au/view/UQ:eece8ea,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Carbon Disclosure and Firm Idiosyncratic Risk: International Evidence,2025,Journals,The International Journal of Accounting,http://espace.library.uq.edu.au/view/UQ:0542222,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Carbon disclosure and common ownership,2024,Journals,"Journal of Accounting, Auditing and Finance",http://espace.library.uq.edu.au/view/UQ:88d4c58,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Carbon management system quality and corporate financial performance,2023,Journals,The International Journal of Accounting,http://espace.library.uq.edu.au/view/UQ:bd386a9,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Does a carbon management system mitigate the consequences of carbon emissions on firm value? An international study,2022,Journals,Journal of International Accounting Research,http://espace.library.uq.edu.au/view/UQ:894082e,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Insider vs. outsider CEO and firm performance: evidence from the Covid-19 pandemic,2022,Journals,Finance Research Letters,http://espace.library.uq.edu.au/view/UQ:57c074e,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Does corporate social responsibility enhance financial performance? Evidence from Australia,2022,Journals,Australian Accounting Review,http://espace.library.uq.edu.au/view/UQ:236ca4d,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
The value relevance of carbon emissions information from Australian-listed companies,2021,Journals,Australian Journal of Management,http://espace.library.uq.edu.au/view/UQ:2e9fd82,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Does the market value greenhouse gas emissions? Evidence from multi-country firm data,2021,Journals,The British Accounting Review,http://espace.library.uq.edu.au/view/UQ:a40b02b,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Policies and innovations to battle Covid-19 – a case study of South Korea,2020,Journals,Health Policy and Technology,http://espace.library.uq.edu.au/view/UQ:1a888f9,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Corporate social responsibility and debt maturity: Australian evidence,2020,Journals,Pacific-Basin Finance Journal,http://espace.library.uq.edu.au/view/UQ:a36dfe8,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Does corporate social responsibility reduce information asymmetry? Empirical evidence from Australia,2019,Journals,Australian Journal of Management,http://espace.library.uq.edu.au/view/UQ:0b88ce3,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Australian enterprise risk management practices and corporate governance,2018,Journals,Company and Securities Law Journal,http://espace.library.uq.edu.au/view/UQ:692eb05,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
The Effect of CEO Stock-Based Compensation on the Pricing of Future Earnings,2017,Journals,European Accounting Review,http://espace.library.uq.edu.au/view/UQ:05a37b7,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Trading behavior prior to public release of analyst reports: Evidence from Korea,2015,Journals,Contemporary Accounting Research,http://espace.library.uq.edu.au/view/UQ:a78a122,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
Determinants and market implications of differentiated dividends in Korea,2014,Journals,International Journal of Managerial Finance,http://espace.library.uq.edu.au/view/UQ:cb95d1a,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
An analysis of Australian company carbon emission disclosures,2013,Journals,Pacific Accounting Review,http://espace.library.uq.edu.au/view/UQ:7023645,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
"Corporate social responsibility, corporate governance and earnings quality: Evidence from Korea",2013,Journals,Corporate Governance: An International Review,http://espace.library.uq.edu.au/view/UQ:6a4da91,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
An equity market perspective on the Korean financial crisis,2010,Journals,Global Economic Review,http://espace.library.uq.edu.au/view/UQ:c18d842,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
"Analyst following, institutional investors and pricing of future earnings: Evidence from Korea",2008,Journals,Journal of International Financial Management and Accounting,http://espace.library.uq.edu.au/view/UQ:493bae7,Bobae Choi,https://business.uq.edu.au/profile/18873/bobae-choi,Associate Professor,Accounting,D
The spillover effect of media ownership on mainstream media discourse,2025,Journals,Financial Management,http://espace.library.uq.edu.au/view/UQ:9eb9742,Xin Yu,https://business.uq.edu.au/profile/2201/xin-yu,Associate Professor,Accounting,D
Online voting and minority shareholder dissent: evidence from China,2023,Journals,Financial Management,http://espace.library.uq.edu.au/view/UQ:86a88a6,Xin Yu,https://business.uq.edu.au/profile/2201/xin-yu,Associate Professor,Accounting,D
Consistency among common measures of corporate social and sustainability performance,2023,Journals,Journal of Cleaner Production,http://espace.library.uq.edu.au/view/UQ:db8b5e9,Xin Yu,https://business.uq.edu.au/profile/2201/xin-yu,Associate Professor,Accounting,D
Information processing costs and firm-specific information flows: evidence from the launch of high-speed railway in China,2022,Journals,Asian Review of Accounting,http://espace.library.uq.edu.au/view/UQ:84bebac,Xin Yu,https://business.uq.edu.au/profile/2201/xin-yu,Associate Professor,Accounting,D
"When investors can talk to firms, is it a meaningful conversation? Evidence from investor postings on interactive platforms",2022,Journals,European Accounting Review,http://espace.library.uq.edu.au/view/UQ:5438d13,Xin Yu,https://business.uq.edu.au/profile/2201/xin-yu,Associate Professor,Accounting,D
"Bank loan covenants, accrual quality and firms’ information environment",2022,Journals,Accounting and Finance,http://espace.library.uq.edu.au/view/UQ:c662529,Xin Yu,https://business.uq.edu.au/profile/2201/xin-yu,Associate Professor,Accounting,D
Do founding families downgrade corporate governance? The roles of intra-family enforcement,2022,Journals,Journal of Corporate Finance,http://espace.library.uq.edu.au/view/UQ:e889979,Xin Yu,https://business.uq.edu.au/profile/2201/xin-yu,Associate Professor,Accounting,D
Collectivist Cultures and the Emergence of Family Firms,2022,Journals,Journal of Law and Economics,http://espace.library.uq.edu.au/view/UQ:b25ad50,Xin Yu,https://business.uq.edu.au/profile/2201/xin-yu,Associate Professor,Accounting,D
Dividend payouts and catering to demands: evidence from a dividend tax reform,2021,Journals,International Review of Financial Analysis,http://espace.library.uq.edu.au/view/UQ:838430a,Xin Yu,https://business.uq.edu.au/profile/2201/xin-yu,Associate Professor,Accounting,D
